model,precision,top1_%,top5_%,loss,params_M,size_MB
alexnet_small_kernel,FP32,45.836564898490906,71.07693552970886,2.3493072986602783,1.602376,18.353315353393555
alexnet_stacked,FP32,44.5596843957901,70.79172134399414,2.386047124862671,60.483976,692.2546691894531
alexnet_mixed,FP32,38.74005675315857,64.82577323913574,2.6837058067321777,1.750024,20.042604446411133
alexnet_3x3,FP32,35.78716218471527,61.28220558166504,2.884495735168457,57.605128,659.2580509185791
alexnet_2x2,FP32,30.023813247680664,55.55385947227478,3.16207218170166,1.052744,12.062768936157227
alexnet_tv,FP32,24.28814321756363,49.215373396873474,3.4389357566833496,57.82324,661.7541408538818
alexnet_stacked_INT8,INT8,42.79284477233887,68.71417760848999,2.470658302307129,60.483976,57.94155311584473
alexnet_mixed_INT8,INT8,37.99386024475098,63.80206346511841,2.7242045402526855,1.750024,1.705047607421875
alexnet_3x3_INT8,INT8,36.19011640548706,61.98274493217468,2.861196279525757,57.605128,55.124595642089844
alexnet_small_kernel_INT8,INT8,35.94608008861542,61.60731911659241,3.1197876930236816,1.602376,1.5610408782958984
alexnet_2x2_INT8,INT8,30.88858127593994,56.483012437820435,3.104257822036743,1.052744,1.0399894714355469
alexnet_tv_INT8,INT8,26.27626061439514,51.75224542617798,3.3020150661468506,57.82324,55.33261299133301
