model,precision,top1_%,top5_%,loss,params_M,size_MB
alexnet_residual,FP32,48.01293909549713,73.10833930969238,2.247621774673462,60.67028,694.4140338897705
alexnet_bottleneck,FP32,44.62297856807709,71.03633880615234,2.362962484359741,0.385,4.4917449951171875
alexnet_depthwisesep,FP32,44.390010833740234,69.4456160068512,2.4159719944000244,0.313641,3.6540164947509766
alexnet_fire,FP32,43.976473808288574,70.43158411979675,2.4098563194274902,0.516152,5.989412307739258
alexnet_factorized,FP32,42.890143394470215,68.91416311264038,2.497375965118408,57.06676,653.1486721038818
alexnet_gap,FP32,38.73852789402008,64.8317277431488,2.6885793209075928,2.302984,26.370630264282227
alexnet_groupconv,FP32,29.18199896812439,57.067954540252686,3.0781633853912354,55.919752,639.9905910491943
alexnet_se,FP32,0.4999999888241291,2.499999850988388,5.2987775802612305,57.646288,659.7523059844971
alexnet_residual_INT8,INT8,47.273704409599304,72.4995493888855,2.31097149848938,60.67028,58.10271072387695
alexnet_bottleneck_INT8,INT8,44.539082050323486,71.01452946662903,2.3611302375793457,0.385,0.4317798614501953
alexnet_fire_INT8,INT8,44.30399537086487,70.88165879249573,2.384477138519287,0.516152,0.5513744354248047
alexnet_factorized_INT8,INT8,42.59788990020752,67.79850721359253,2.5493292808532715,57.06676,54.683115005493164
alexnet_depthwisesep_INT8,INT8,41.46906137466431,66.99280738830566,2.555845260620117,0.313641,0.39975547790527344
alexnet_gap_INT8,INT8,37.599918246269226,62.967491149902344,2.77510666847229,2.302984,2.232311248779297
alexnet_groupconv_INT8,INT8,27.70700454711914,55.09711503982544,3.1615710258483887,55.919752,53.538496017456055
