phase,model_name,fp32_latency_ms_per_image,int8_latency_ms_per_image,fp32_throughput_img_per_s,int8_throughput_img_per_s
Phase 4 - Final Architecture,alexnet_final_bottleneck_residual,0.08977537270002359,0.4863486008998734,11138.912264295588,2056.1383298928704
Phase 4 - Final Architecture,alexnet_final_fire_residual,0.0898766203001287,0.44687850619993696,11126.364082902302,2237.7446803239004
Phase 4 - Final Architecture,alexnet_final_bottleneck_fire,0.09166995489977126,0.4485253957998793,10908.699596213015,2229.5281590837158
Phase 4 - Final Architecture,alexnet_final_depthwise_fire,0.09235715100003289,0.3769649521000247,10827.531914660769,2652.7665090060095
Phase 2 - AlexNet Variants,alexnet_2x2,0.09340629540020018,0.3325432800997078,10705.916509326167,3007.127372112785
Phase 2 - AlexNet Variants,alexnet_mixed,0.09355670680015464,0.46981944729996034,10688.704575034775,2128.4772389626974
Phase 2 - AlexNet Variants,alexnet_tv,0.0956599326000287,0.516378368200094,10453.697518073517,1936.564468193418
Phase 3 - Compensation,alexnet_groupconv,0.09721118670058787,0.6069150019997324,10286.881931397642,1647.6771816565526
Phase 2 - AlexNet Variants,alexnet_3x3,0.09834567809994041,0.9284562449996883,10168.215007717821,1077.056679176449
Phase 3 - Compensation,alexnet_se,0.10062463770009344,,9937.923980212963,
Phase 3 - Compensation,alexnet_gap,0.10066843259992311,0.7889059016000829,9933.600575407825,1267.578297958945
Phase 3 - Compensation,alexnet_depthwisesep,0.10087186140008271,0.38028139879970696,9913.567432187587,2629.6316442411558
Phase 3 - Compensation,alexnet_bottleneck,0.10511326659980114,0.42398790509978423,9513.546979824256,2358.5578455702716
Phase 1 - Baselines,resnet18_tv,0.12763997450001624,,7834.536193830661,
Phase 1 - Baselines,vgg_style,0.13071144740006277,1.3151550196000243,7650.439344760251,760.3666374661507
Phase 1 - Baselines,mobilenetv2,0.13218055479992472,,7565.4093108751995,
Phase 1 - Baselines,alexnet_tv,0.13480625230004079,0.6617911908999304,7418.053561598028,1511.050636138205
Phase 2 - AlexNet Variants,alexnet_stacked,0.14089652559996466,1.7811534354001195,7097.407091777505,561.4339450634466
Phase 3 - Compensation,alexnet_factorized,0.14931854919996113,1.2919605581999347,6697.091589477219,774.0174370286363
Phase 3 - Compensation,alexnet_fire,0.15072352119968854,0.9699905761000992,6634.664530396244,1030.9378509846513
Phase 2 - AlexNet Variants,alexnet_small_kernel,0.15097547709992795,1.7202708196997263,6623.592249608312,581.3038206243307
Phase 3 - Compensation,alexnet_residual,0.15519397739990382,2.038125913099793,6443.549013652767,490.64682097049456
