phase,model_name,fp32_top1,int8_top1,quantization_drop_top1,winograd_friendly
Phase 2 - AlexNet Variants,alexnet_tv,24.28814321756363,26.27626061439514,-1.9881173968315125,False
Phase 4 - Final Architecture,alexnet_final_bottleneck_fire,42.28608012199402,44.00103688240051,-1.7149567604064941,True
Phase 4 - Final Architecture,alexnet_final_bottleneck_residual,45.09960114955902,45.980674028396606,-0.8810728788375854,True
Phase 2 - AlexNet Variants,alexnet_2x2,30.023813247680664,30.88858127593994,-0.8647680282592773,False
Phase 2 - AlexNet Variants,alexnet_3x3,35.78716218471527,36.19011640548706,-0.40295422077178955,True
Phase 3 - Compensation,alexnet_fire,43.976473808288574,44.30399537086487,-0.32752156257629395,True
Phase 3 - Compensation,alexnet_bottleneck,44.62297856807709,44.539082050323486,0.08389651775360107,True
Phase 3 - Compensation,alexnet_factorized,42.890143394470215,42.59788990020752,0.2922534942626953,False
Phase 4 - Final Architecture,alexnet_final_fire_residual,49.793291091918945,49.20102655887604,0.5922645330429077,True
Phase 1 - Baselines,vgg_style,51.81480646133423,51.188743114471436,0.626063346862793,True
Phase 4 - Final Architecture,alexnet_final_depthwise_fire,43.45587491989136,42.78924763202667,0.6666272878646851,True
Phase 3 - Compensation,alexnet_residual,48.01293909549713,47.273704409599304,0.7392346858978271,True
Phase 2 - AlexNet Variants,alexnet_mixed,38.74005675315857,37.99386024475098,0.7461965084075928,False
Phase 1 - Baselines,alexnet_tv,32.88792073726654,31.90320134162903,0.9847193956375122,False
Phase 3 - Compensation,alexnet_gap,38.73852789402008,37.599918246269226,1.1386096477508545,True
Phase 3 - Compensation,alexnet_groupconv,29.18199896812439,27.70700454711914,1.474994421005249,True
Phase 2 - AlexNet Variants,alexnet_stacked,44.5596843957901,42.79284477233887,1.766839623451233,True
Phase 3 - Compensation,alexnet_depthwisesep,44.390010833740234,41.46906137466431,2.9209494590759277,True
Phase 2 - AlexNet Variants,alexnet_small_kernel,45.836564898490906,35.94608008861542,9.890484809875488,True
