phase,model_name,fp32_size_mb,int8_size_mb,compression_ratio,param_efficiency_top1_per_m,accuracy_per_mb_fp32,winograd_friendly
Phase 3 - Compensation,alexnet_depthwisesep,3.6540164947509766,0.39975547790527344,9.14062895122312,141.8181934122133,12.148278722197022,True
Phase 3 - Compensation,alexnet_bottleneck,4.4917449951171875,0.4317798614501953,10.402858947684615,116.05194805194805,9.93444165164877,True
Phase 4 - Final Architecture,alexnet_final_depthwise_fire,5.511262893676758,0.5093898773193359,10.81934121400248,91.65734932757238,7.884921434205149,True
Phase 3 - Compensation,alexnet_fire,5.989412307739258,0.5513744354248047,10.862694972654534,85.38182550876485,7.342368758194204,True
Phase 4 - Final Architecture,alexnet_final_bottleneck_fire,5.882781028747559,0.5452156066894531,10.789825083085534,83.56897995292334,7.188110506808496,True
Phase 4 - Final Architecture,alexnet_final_bottleneck_residual,6.653960227966309,0.6376895904541016,10.434481490011455,78.97721703331325,6.777858539040756,True
Phase 4 - Final Architecture,alexnet_final_fire_residual,8.093656539916992,0.7463092803955078,10.844909412928304,71.25027194760285,6.152137892971379,True
Phase 2 - AlexNet Variants,alexnet_small_kernel,18.353315353393555,1.5610408782958984,11.757101052618717,28.60751783601352,2.4974542209898694,True
Phase 2 - AlexNet Variants,alexnet_2x2,12.062768936157227,1.0399894714355469,11.59893370795996,28.582447394618256,2.488965295330045,False
Phase 1 - Baselines,mobilenetv2,28.751924514770508,,,23.414642800692885,2.017102597674756,False
Phase 2 - AlexNet Variants,alexnet_mixed,20.042604446411133,1.705047607421875,11.754865001521361,22.113982436812297,1.9328853621164708,False
Phase 1 - Baselines,vgg_style,27.58481216430664,2.3767032623291016,11.606334118999067,21.556670136798587,1.8783817034063397,True
Phase 3 - Compensation,alexnet_gap,26.370630264282227,2.232311248779297,11.81315118073368,16.873760304022955,1.4690027316673424,True
Phase 1 - Baselines,resnet18_tv,129.20868110656738,,,4.7858377503477225,0.4172601604920133,False
Phase 3 - Compensation,alexnet_residual,694.4140338897705,58.10271072387695,11.951491165185953,0.792150621358596,0.06914166009369359,True
Phase 3 - Compensation,alexnet_factorized,653.1486721038818,54.683115005493164,11.944247726894675,0.7542043739648089,0.0656667390233148,False
Phase 2 - AlexNet Variants,alexnet_stacked,692.2546691894531,57.94155311584473,11.947464849715063,0.7378813853110451,0.06436891851948666,True
Phase 2 - AlexNet Variants,alexnet_3x3,659.2580509185791,55.124595642089844,11.959417447684807,0.6223404277480297,0.05428399719176903,True
Phase 1 - Baselines,alexnet_tv,661.7541408538818,55.33261299133301,11.959567876498717,0.5696671442139873,0.04969809587414178,False
Phase 3 - Compensation,alexnet_groupconv,639.9905910491943,53.538496017456055,11.953839548285545,0.5223556785444972,0.04559754373932858,True
Phase 2 - AlexNet Variants,alexnet_tv,661.7541408538818,55.33261299133301,11.959567876498717,0.4197274313926373,0.03670266903993058,False
Phase 3 - Compensation,alexnet_se,659.7523059844971,,,0.0074592834147447626,0.0007578601609857475,True
