in_ch,out_ch,batch_size,input_resolution,precision,2.0,3.0,5.0,7.0,9.0,11.0,winograd_signal
16.0,16.0,1.0,64.0,fp32,0.02077460289001465,0.019125938415527344,0.027123689651489258,0.031684041023254395,0.04448294639587402,0.06241023540496826,False
16.0,16.0,1.0,64.0,int8,0.020614266395568848,0.019091367721557617,0.026982426643371582,0.031710267066955566,0.04448235034942627,0.062294602394104004,False
16.0,16.0,1.0,128.0,fp32,0.020876526832580566,0.01930713653564453,0.03132462501525879,0.04491090774536133,0.1569730043411255,0.22823214530944824,False
16.0,16.0,1.0,128.0,int8,0.020775794982910156,0.019159317016601562,0.031340718269348145,0.04490852355957031,0.15673577785491943,0.22827327251434326,False
16.0,16.0,8.0,64.0,fp32,0.020816326141357422,0.01995861530303955,0.04854023456573486,0.08504331111907959,0.139198899269104,0.20088672637939453,True
16.0,16.0,8.0,64.0,int8,0.020923614501953125,0.019861459732055664,0.048533082008361816,0.08497118949890137,0.1392728090286255,0.20092904567718506,True
16.0,16.0,8.0,128.0,fp32,0.025898218154907227,0.029123425483703613,0.06500780582427979,0.376359224319458,0.5373352766036987,0.7834100723266602,False
16.0,16.0,8.0,128.0,int8,0.025846362113952637,0.029068589210510254,0.06503522396087646,0.37625908851623535,0.537179708480835,0.7829815149307251,False
32.0,32.0,1.0,64.0,fp32,0.023302435874938965,0.01901566982269287,0.0272291898727417,0.03670930862426758,0.03928422927856445,0.0546872615814209,False
32.0,32.0,1.0,64.0,int8,0.02328813076019287,0.01906752586364746,0.027292370796203613,0.036615729331970215,0.03928482532501221,0.05470752716064453,False
32.0,32.0,1.0,128.0,fp32,0.023518800735473633,0.01952826976776123,0.03254830837249756,0.049985647201538086,0.07399976253509521,0.10493576526641846,False
32.0,32.0,1.0,128.0,int8,0.02335667610168457,0.019510388374328613,0.03224492073059082,0.04996776580810547,0.0741112232208252,0.10493755340576172,False
32.0,32.0,8.0,64.0,fp32,0.023562908172607422,0.021657347679138184,0.05252718925476074,0.0923377275466919,0.14100193977355957,0.20243704319000244,True
32.0,32.0,8.0,64.0,int8,0.023670196533203125,0.02167046070098877,0.052553415298461914,0.09229958057403564,0.14110684394836426,0.20233631134033203,True
32.0,32.0,8.0,128.0,fp32,0.03462851047515869,0.0429767370223999,0.16766786575317383,0.34496188163757324,0.5421853065490723,0.7875365018844604,False
32.0,32.0,8.0,128.0,int8,0.03354966640472412,0.0430065393447876,0.16953706741333008,0.34612178802490234,0.5429637432098389,0.7883024215698242,False
64.0,64.0,1.0,64.0,fp32,0.025088787078857422,0.020838379859924316,0.03288388252258301,0.039403438568115234,0.059380531311035156,0.08458614349365234,False
64.0,64.0,1.0,64.0,int8,0.025079846382141113,0.020774006843566895,0.03231942653656006,0.03867626190185547,0.05939185619354248,0.0844717025756836,False
64.0,64.0,1.0,128.0,fp32,0.02625405788421631,0.024940967559814453,0.08617639541625977,0.08502066135406494,0.13431251049041748,0.19561231136322021,True
64.0,64.0,1.0,128.0,int8,0.026294589042663574,0.02493917942047119,0.08589088916778564,0.08509397506713867,0.13433635234832764,0.19558489322662354,True
64.0,64.0,8.0,64.0,fp32,0.028888583183288574,0.037484169006347656,0.10393679141998291,0.4417407512664795,0.7075482606887817,1.0361868143081665,False
64.0,64.0,8.0,64.0,int8,0.028828978538513184,0.03751575946807861,0.10399758815765381,0.44159770011901855,0.7074862718582153,1.0358059406280518,False
64.0,64.0,8.0,128.0,fp32,0.13779759407043457,0.1333695650100708,0.4367595911026001,1.7615723609924316,2.8315895795822144,4.1336590051651,True
64.0,64.0,8.0,128.0,int8,0.13727843761444092,0.13372719287872314,0.4369741678237915,1.7621153593063354,2.831588387489319,4.131208062171936,True
128.0,128.0,1.0,64.0,fp32,0.026587843894958496,0.024589896202087402,0.04920780658721924,0.0866013765335083,0.1365751028060913,0.19886493682861328,True
128.0,128.0,1.0,64.0,int8,0.02658843994140625,0.02451479434967041,0.04915297031402588,0.08658409118652344,0.13674259185791016,0.19906878471374512,True
128.0,128.0,1.0,128.0,fp32,0.038924217224121094,0.06851255893707275,0.16376733779907227,0.31616926193237305,0.5123138427734375,0.7580083608627319,False
128.0,128.0,1.0,128.0,int8,0.03888428211212158,0.06851375102996826,0.16374647617340088,0.3160250186920166,0.5122947692871094,0.7581549882888794,False
128.0,128.0,8.0,64.0,fp32,0.06811201572418213,0.12699365615844727,0.4867130517959595,0.624740719795227,1.0161983966827393,1.5079104900360107,False
128.0,128.0,8.0,64.0,int8,0.06809711456298828,0.1268678903579712,0.48672616481781006,0.6253588199615479,1.0162162780761719,1.5076106786727905,False
128.0,128.0,8.0,128.0,fp32,0.3707563877105713,0.612136721611023,1.3761711120605469,2.589990496635437,4.155585169792175,6.119369864463806,False
128.0,128.0,8.0,128.0,int8,0.3708726167678833,0.6123059988021851,1.3768655061721802,2.5906753540039062,4.156113862991333,6.120015978813171,False
