kernel_size,in_ch,out_ch,batch_size,input_resolution,fp32,int8,overhead_ratio
2.0,16.0,16.0,1.0,64.0,0.02077460289001465,0.020614266395568848,0.9922820910082056
2.0,16.0,16.0,1.0,128.0,0.020876526832580566,0.020775794982910156,0.995174875089222
2.0,16.0,16.0,8.0,64.0,0.020816326141357422,0.020923614501953125,1.005154048791662
2.0,16.0,16.0,8.0,128.0,0.025898218154907227,0.025846362113952637,0.9979976985040276
2.0,32.0,32.0,1.0,64.0,0.023302435874938965,0.02328813076019287,0.9993861107558512
2.0,32.0,32.0,1.0,128.0,0.023518800735473633,0.02335667610168457,0.9931065943534898
2.0,32.0,32.0,8.0,64.0,0.023562908172607422,0.023670196533203125,1.0045532732975817
2.0,32.0,32.0,8.0,128.0,0.03462851047515869,0.03354966640472412,0.9688452071535535
2.0,64.0,64.0,1.0,64.0,0.025088787078857422,0.025079846382141113,0.9996436377458899
2.0,64.0,64.0,1.0,128.0,0.02625405788421631,0.026294589042663574,1.0015438054805095
2.0,64.0,64.0,8.0,64.0,0.028888583183288574,0.028828978538513184,0.9979367404625827
2.0,64.0,64.0,8.0,128.0,0.13779759407043457,0.13727843761444092,0.9962324708243578
2.0,128.0,128.0,1.0,64.0,0.026587843894958496,0.02658843994140625,1.0000224180061426
2.0,128.0,128.0,1.0,128.0,0.038924217224121094,0.03888428211212158,0.9989740291559476
2.0,128.0,128.0,8.0,64.0,0.06811201572418213,0.06809711456298828,0.9997812256613549
2.0,128.0,128.0,8.0,128.0,0.3707563877105713,0.3708726167678833,1.0003134917189958
3.0,16.0,16.0,1.0,64.0,0.019125938415527344,0.019091367721557617,0.9981924707055597
3.0,16.0,16.0,1.0,128.0,0.01930713653564453,0.019159317016601562,0.9923437885897752
3.0,16.0,16.0,8.0,64.0,0.01995861530303955,0.019861459732055664,0.9951321487233089
3.0,16.0,16.0,8.0,128.0,0.029123425483703613,0.029068589210510254,0.9981171077137185
3.0,32.0,32.0,1.0,64.0,0.01901566982269287,0.01906752586364746,1.0027270162680626
3.0,32.0,32.0,1.0,128.0,0.01952826976776123,0.019510388374328613,0.9990843329365443
3.0,32.0,32.0,8.0,64.0,0.021657347679138184,0.02167046070098877,1.0006054768129902
3.0,32.0,32.0,8.0,128.0,0.0429767370223999,0.0430065393447876,1.0006934524222293
3.0,64.0,64.0,1.0,64.0,0.020838379859924316,0.020774006843566895,0.9969108435113412
3.0,64.0,64.0,1.0,128.0,0.024940967559814453,0.02493917942047119,0.9999283051333524
3.0,64.0,64.0,8.0,64.0,0.037484169006347656,0.03751575946807861,1.0008427680956622
3.0,64.0,64.0,8.0,128.0,0.1333695650100708,0.13372719287872314,1.0026814803559219
3.0,128.0,128.0,1.0,64.0,0.024589896202087402,0.02451479434967041,0.9969458247485153
3.0,128.0,128.0,1.0,128.0,0.06851255893707275,0.06851375102996826,1.000017399625908
3.0,128.0,128.0,8.0,64.0,0.12699365615844727,0.1268678903579712,0.9990096686379424
3.0,128.0,128.0,8.0,128.0,0.612136721611023,0.6123059988021851,1.0002765349393132
5.0,16.0,16.0,1.0,64.0,0.027123689651489258,0.026982426643371582,0.99479189557421
5.0,16.0,16.0,1.0,128.0,0.03132462501525879,0.031340718269348145,1.000513757278228
5.0,16.0,16.0,8.0,64.0,0.04854023456573486,0.048533082008361816,0.9998526468312929
5.0,16.0,16.0,8.0,128.0,0.06500780582427979,0.06503522396087646,1.0004217668362902
5.0,32.0,32.0,1.0,64.0,0.0272291898727417,0.027292370796203613,1.002320337981306
5.0,32.0,32.0,1.0,128.0,0.03254830837249756,0.03224492073059082,0.9906788506967971
5.0,32.0,32.0,8.0,64.0,0.05252718925476074,0.052553415298461914,1.0004992851144952
5.0,32.0,32.0,8.0,128.0,0.16766786575317383,0.16953706741333008,1.0111482403128333
5.0,64.0,64.0,1.0,64.0,0.03288388252258301,0.03231942653656006,0.9828348740257387
5.0,64.0,64.0,1.0,128.0,0.08617639541625977,0.08589088916778564,0.9966869553188547
5.0,64.0,64.0,8.0,64.0,0.10393679141998291,0.10399758815765381,1.0005849395275752
5.0,64.0,64.0,8.0,128.0,0.4367595911026001,0.4369741678237915,1.0004912925223914
5.0,128.0,128.0,1.0,64.0,0.04920780658721924,0.04915297031402588,0.998885618421212
5.0,128.0,128.0,1.0,128.0,0.16376733779907227,0.16374647617340088,0.9998726142468226
5.0,128.0,128.0,8.0,64.0,0.4867130517959595,0.48672616481781006,1.0000269419975532
5.0,128.0,128.0,8.0,128.0,1.3761711120605469,1.3768655061721802,1.000504584136048
