phase,model_name,fp32_top1,fp32_top5,int8_top1,int8_top5,quantization_drop_top1,fp32_size_mb,int8_size_mb,params_m,macs,fp32_latency_ms_per_image,fp32_throughput_img_per_s,param_efficiency_top1_per_m,total_training_time_s,avg_epoch_time_s,peak_gpu_mem_mb
Phase 1 — Baselines,resnet18_tv,53.91363501548767,77.79748439788818,,,,43.0695603688558,,11.279112,148555776.0,0.1276399745000162,7834.536193830661,4.7858377503477225,598.3862891197205,28.283485071999685,541.72900390625
Phase 1 — Baselines,mobilenetv2,57.99558162689209,81.51498436927795,,,,9.693723678588867,,2.480072,25799936.0,0.1321805547999247,7565.409310875199,23.414642800692885,1087.8419904708862,32.87225328069745,536.681640625
Phase 1 — Baselines,vgg_style,51.81480646133423,75.88169574737549,51.18874311447144,75.5200743675232,0.626063346862793,9.20516586303711,2.3767032623291016,2.405288,231086080.0,0.1307114474000627,7650.439344760251,21.556670136798587,2009.6125140190125,29.492008917471946,504.4853515625
Phase 2 — AlexNet Variants,alexnet_2x2,30.023813247680664,55.55385947227478,30.88858127593994,56.48301243782044,-0.8647680282592773,4.020922978719075,1.0399894714355469,1.052744,36542464.0,0.0934062954002001,10705.916509326167,28.582447394618256,693.1987240314484,20.96354306827892,773.8046875
Phase 2 — AlexNet Variants,alexnet_2x2_fc,30.532345175743103,56.02866411209106,31.539398431777958,57.15075135231018,-1.007053256034851,134.98190879821777,33.9323673248291,35.383368,70860800.0,0.0984403105001547,10158.440123961496,0.867074044505882,1061.5551810264587,30.378501835991354,1529.84716796875
Phase 2 — AlexNet Variants,alexnet_3x3,35.78716218471527,61.28220558166504,36.19011640548706,61.98274493217468,-0.4029542207717895,219.75268363952637,55.12459564208984,57.605128,222281728.0,0.0983456780999404,10168.21500771782,0.6223404277480297,1838.84818315506,47.231611251831055,1809.38427734375
Phase 2 — AlexNet Variants,alexnet_3x3_fc,35.78716218471527,61.28220558166504,36.18548810482025,62.16447353363037,-0.3983259201049804,219.75125694274902,55.1247501373291,57.605128,222281728.0,0.1026957636997394,9737.50000948225,0.6223404277480297,48.39414858818054,47.24171411685455,1953.94482421875
Phase 2 — AlexNet Variants,alexnet_3x3_gap,40.31681120395661,66.32042527198792,37.023475766181946,62.888675928115845,3.293335437774658,8.78917121887207,2.232471466064453,2.302984,166987776.0,0.1008271518003312,9917.963387285876,17.546800151455678,213.60753870010376,22.69097744688696,938.462890625
Phase 2 — AlexNet Variants,alexnet_2x2_gap,33.15201997756958,58.94674062728882,30.817538499832157,56.08581900596619,2.3344814777374268,4.01988410949707,1.0401496887207031,1.052744,36542464.0,0.0998389032996783,10016.135664054533,31.574627829747783,363.5704307556152,21.09303594112396,918.96484375
Phase 2 — AlexNet Variants,alexnet_mixed,38.74005675315857,64.82577323913574,37.99386024475098,63.80206346511841,0.7461965084075928,6.67979621887207,1.705047607421875,1.750024,80792576.0,0.0987146687999484,10130.206707440451,22.113982436812297,21.53603482246399,20.944988834097032,932.548828125
Phase 2 — AlexNet Variants,alexnet_small_kernel,45.836564898490906,71.07693552970886,36.16283535957336,61.6033136844635,9.673729538917542,6.1177717844645185,1.5610408782958984,1.602376,460179456.0,0.1524154766993888,6561.01349846718,28.60751783601352,24.23272156715393,23.74463478848338,1038.20849609375
Phase 2 — AlexNet Variants,alexnet_tv,32.20268785953522,57.60788321495056,26.27626061439514,51.75224542617798,5.926427245140076,220.58328819274902,55.33261299133301,57.82324,94868416.0,0.1004399479999847,9956.197906436111,0.5579071667378029,2734.5363073349,48.91297875691767,1957.52685546875
Phase 2 — AlexNet Variants,alexnet_stacked,45.21975517272949,70.96072435379028,42.30971932411194,68.34551692008972,2.9100358486175537,230.7653350830078,57.94155311584473,60.483976,506085376.0,0.1428968373998941,6998.055507705315,0.7491240324544802,896.4323410987854,57.93596058475728,2011.45068359375
Phase 3 — Compensation,alexnet_se,0.4999999888241291,2.499999850988388,,,,219.9145908355713,,57.646288,222493696.0,0.1006246377000934,9937.923980212963,0.0074592834147447,297.8844792842865,48.82184954484304,1122.060546875
Phase 3 — Compensation,alexnet_gap,38.73852789402008,64.8317277431488,37.599918246269226,62.96749114990234,1.1386096477508545,8.790210088094076,2.232311248779297,2.302984,166987776.0,0.1006684325999231,9933.600575407823,16.873760304022955,900.89364361763,23.04509404989389,105.9853515625
Phase 3 — Compensation,alexnet_fire,43.976473808288574,70.43158411979675,44.30399537086487,70.88165879249573,-0.3275215625762939,2.009584426879883,0.5513744354248047,0.516152,177670144.0,0.1507235211996885,6634.664530396244,85.38182550876485,1494.1414999961853,31.755966749597103,402.4462890625
Phase 3 — Compensation,alexnet_residual,48.01293909549713,73.10833930969238,47.2737044095993,72.4995493888855,0.7392346858978271,231.49182891845703,58.10271072387695,60.67028,520749056.0,0.1551939773999038,6443.549013652767,0.792150621358596,638.5349838733673,61.89915706129635,1182.28857421875
Phase 3 — Compensation,alexnet_factorized,42.890143394470215,68.91416311264038,42.59788990020752,67.79850721359253,0.2922534942626953,217.72975158691406,54.68311500549317,57.06676,246366208.0,0.1493185491999611,6697.091589477219,0.7542043739648089,61.9495849609375,59.8345720522544,1203.14453125
Phase 3 — Compensation,alexnet_bottleneck,44.62297856807709,71.03633880615234,44.539082050323486,71.01452946662903,0.083896517753601,1.5106220245361328,0.4317798614501953,0.385,39512064.0,0.1051132665998011,9513.546979824256,116.05194805194805,27.80499815940857,23.38464493323595,146.84814453125
