phase,model_name,stage,source,source_type,n_epochs
Phase 1/3/4 (large-scale rerun),alexnet_bottleneck,fp32,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_bottleneck/logs/alexnet_bottleneck.log,text_log,233
Phase 1/3/4 (large-scale rerun),alexnet_bottleneck,qat,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_bottleneck/logs/qat_alexnet_bottleneck.log,text_log,59
Phase 1/3/4 (large-scale rerun),alexnet_depthwisesep,fp32,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_depthwisesep/logs/alexnet_depthwisesep.log,text_log,218
Phase 1/3/4 (large-scale rerun),alexnet_depthwisesep,qat,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_depthwisesep/logs/qat_alexnet_depthwisesep.log,text_log,48
Phase 1/3/4 (large-scale rerun),alexnet_final_bottleneck_fire,fp32,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_final_bottleneck_fire/logs/alexnet_final_bottleneck_fire.log,text_log,167
Phase 1/3/4 (large-scale rerun),alexnet_final_bottleneck_fire,qat,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_final_bottleneck_fire/logs/qat_alexnet_final_bottleneck_fire.log,text_log,53
Phase 1/3/4 (large-scale rerun),alexnet_final_bottleneck_residual,fp32,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_final_bottleneck_residual/logs/alexnet_final_bottleneck_residual.log,text_log,95
Phase 1/3/4 (large-scale rerun),alexnet_final_bottleneck_residual,qat,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_final_bottleneck_residual/logs/qat_alexnet_final_bottleneck_residual.log,text_log,56
Phase 1/3/4 (large-scale rerun),alexnet_final_depthwise_fire,fp32,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_final_depthwise_fire/logs/alexnet_final_depthwise_fire.log,text_log,118
Phase 1/3/4 (large-scale rerun),alexnet_final_depthwise_fire,qat,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_final_depthwise_fire/logs/qat_alexnet_final_depthwise_fire.log,text_log,69
Phase 1/3/4 (large-scale rerun),alexnet_fire,fp32,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_fire/logs/alexnet_fire.log,text_log,195
Phase 1/3/4 (large-scale rerun),alexnet_fire,qat,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_fire/logs/qat_alexnet_fire.log,text_log,50
Phase 1/3/4 (large-scale rerun),alexnet_smallkernel,fp32,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_smallkernel/logs/alexnet_smallkernel.log,text_log,162
Phase 1/3/4 (large-scale rerun),alexnet_smallkernel,qat,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_smallkernel/logs/qat_alexnet_smallkernel.log,text_log,37
Phase 1/3/4 (large-scale rerun),alexnet_tv,fp32,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_tv/logs/alexnet_tv.log,text_log,151
Phase 1/3/4 (large-scale rerun),alexnet_tv,qat,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/alexnet_tv/logs/qat_alexnet_tv.log,text_log,56
Phase 1/3/4 (large-scale rerun),mobilenetv2,fp32,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/mobilenetv2/logs/mobilenetv2.log,text_log,47
Phase 1/3/4 (large-scale rerun),mobilenetv2,qat,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/mobilenetv2/logs/qat_mobilenetv2.log,text_log,71
Phase 1/3/4 (large-scale rerun),resnet18tv,qat,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/resnet18tv/logs/qat_resnet18tv.log,text_log,31
Phase 1/3/4 (large-scale rerun),resnet18tv,fp32,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/resnet18tv/logs/resnet18tv.log,text_log,36
Phase 1/3/4 (large-scale rerun),vgg_style,qat,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/vgg_style/logs/qat_vgg_style.log,text_log,90
Phase 1/3/4 (large-scale rerun),vgg_style,fp32,outputs/pcad/archive_legacy_phases/phase_4_5_large_scale/vgg_style/logs/vgg_style.log,text_log,96
Phase 2 (partial rerun),alexnet_3x3_fc,fp32,outputs/pcad/archive_legacy_phases/phase_2_kernel_restriction/alexnet_3x3_fc/alexnet_3x3_fc/logs/alexnet_3x3_fc.log,text_log,29
Phase 2 (partial rerun),alexnet_3x3_fc,qat,outputs/pcad/archive_legacy_phases/phase_2_kernel_restriction/alexnet_3x3_fc/alexnet_3x3_fc/logs/qat_alexnet_3x3_fc.log,text_log,20
Phase 2 (partial rerun),alexnet_3x3_gap,fp32,outputs/pcad/archive_legacy_phases/phase_2_kernel_restriction/alexnet_3x3_gap/alexnet_3x3_gap/logs/alexnet_3x3_gap.log,text_log,55
Phase 2 (partial rerun),alexnet_3x3_gap,qat,outputs/pcad/archive_legacy_phases/phase_2_kernel_restriction/alexnet_3x3_gap/alexnet_3x3_gap/logs/qat_alexnet_3x3_gap.log,text_log,10
Phase 1/3/4 (large-scale rerun),alexnet_final_fire_residual,fp32,outputs/pcad/logs/large_scale*/train-alexnet_final_fire_residual-*.err,slurm_stderr,370
Phase 8 (notebook-driven),deit_tiny,fp32,checkpoints/phase_8_efficient_vit_hybrid_attention_training/deit_tiny.log,text_log,212
Phase 8 (notebook-driven),deit_tiny,qat,checkpoints/phase_8_efficient_vit_hybrid_attention_training/qat_deit_tiny.log,text_log,62
Phase 8 (notebook-driven),vit_tiny,qat,checkpoints/phase_8_efficient_vit_hybrid_attention_training/qat_vit_tiny.log,text_log,89
Phase 8 (notebook-driven),vit_tiny,fp32,checkpoints/phase_8_efficient_vit_hybrid_attention_training/vit_tiny.log,text_log,125
Phase 9 (bypass ablation),alexnet_fire_bypass,fp32,outputs/pcad/phase_9_bypass_ablation/fire_bypass_large_scale/alexnet_fire_bypass/logs/alexnet_fire_bypass.log,text_log,173
Phase 9 (bypass ablation),alexnet_fire_bypass,qat,outputs/pcad/phase_9_bypass_ablation/fire_bypass_large_scale/alexnet_fire_bypass/logs/qat_alexnet_fire_bypass.log,text_log,50
Phase 7,seg_alexnet_bottleneck_fp32_phase7_segmentation,,outputs/detection_segmentation/phase7/seg_alexnet_bottleneck_fp32_phase7_segmentation/seg_alexnet_bottleneck_fp32_phase7_segmentation.log,text_log,135
Phase 7,seg_alexnet_bottleneck_int8_phase7_segmentation,,outputs/detection_segmentation/phase7/seg_alexnet_bottleneck_int8_phase7_segmentation/seg_alexnet_bottleneck_int8_phase7_segmentation.log,text_log,0
Phase 7,seg_alexnet_bottleneck_qat_phase7_segmentation,,outputs/detection_segmentation/phase7/seg_alexnet_bottleneck_qat_phase7_segmentation/seg_alexnet_bottleneck_qat_phase7_segmentation.log,text_log,56
Phase 7,seg_alexnet_fire_fp32_phase7_segmentation,,outputs/detection_segmentation/phase7/seg_alexnet_fire_fp32_phase7_segmentation/seg_alexnet_fire_fp32_phase7_segmentation.log,text_log,205
Phase 7,seg_alexnet_fire_int8_phase7_segmentation,,outputs/detection_segmentation/phase7/seg_alexnet_fire_int8_phase7_segmentation/seg_alexnet_fire_int8_phase7_segmentation.log,text_log,0
Phase 7,seg_alexnet_fire_qat_phase7_segmentation,,outputs/detection_segmentation/phase7/seg_alexnet_fire_qat_phase7_segmentation/seg_alexnet_fire_qat_phase7_segmentation.log,text_log,77
Phase 7,seg_alexnet_tv_fp32_phase7_segmentation,,outputs/detection_segmentation/phase7/seg_alexnet_tv_fp32_phase7_segmentation/seg_alexnet_tv_fp32_phase7_segmentation.log,text_log,150
Phase 7,seg_alexnet_tv_int8_phase7_segmentation,,outputs/detection_segmentation/phase7/seg_alexnet_tv_int8_phase7_segmentation/seg_alexnet_tv_int8_phase7_segmentation.log,text_log,0
Phase 7,seg_alexnet_tv_qat_phase7_segmentation,,outputs/detection_segmentation/phase7/seg_alexnet_tv_qat_phase7_segmentation/seg_alexnet_tv_qat_phase7_segmentation.log,text_log,53
Phase 7,ssd_alexnet_bottleneck_fp32_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_bottleneck_fp32_phase7_detection/ssd_alexnet_bottleneck_fp32_phase7_detection.log,text_log,600
Phase 7,ssd_alexnet_bottleneck_fp32_pretrained_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_bottleneck_fp32_pretrained_phase7_detection/ssd_alexnet_bottleneck_fp32_pretrained_phase7_detection.log,text_log,760
Phase 7,ssd_alexnet_bottleneck_int8_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_bottleneck_int8_phase7_detection/ssd_alexnet_bottleneck_int8_phase7_detection.log,text_log,0
Phase 7,ssd_alexnet_bottleneck_int8_pretrained_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_bottleneck_int8_pretrained_phase7_detection/ssd_alexnet_bottleneck_int8_pretrained_phase7_detection.log,text_log,0
Phase 7,ssd_alexnet_bottleneck_qat_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_bottleneck_qat_phase7_detection/ssd_alexnet_bottleneck_qat_phase7_detection.log,text_log,200
Phase 7,ssd_alexnet_bottleneck_qat_pretrained_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_bottleneck_qat_pretrained_phase7_detection/ssd_alexnet_bottleneck_qat_pretrained_phase7_detection.log,text_log,173
Phase 7,ssd_alexnet_fire_fp32_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_fire_fp32_phase7_detection/ssd_alexnet_fire_fp32_phase7_detection.log,text_log,823
Phase 7,ssd_alexnet_fire_fp32_pretrained_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_fire_fp32_pretrained_phase7_detection/ssd_alexnet_fire_fp32_pretrained_phase7_detection.log,text_log,647
Phase 7,ssd_alexnet_fire_int8_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_fire_int8_phase7_detection/ssd_alexnet_fire_int8_phase7_detection.log,text_log,0
Phase 7,ssd_alexnet_fire_int8_pretrained_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_fire_int8_pretrained_phase7_detection/ssd_alexnet_fire_int8_pretrained_phase7_detection.log,text_log,0
Phase 7,ssd_alexnet_fire_qat_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_fire_qat_phase7_detection/ssd_alexnet_fire_qat_phase7_detection.log,text_log,100
Phase 7,ssd_alexnet_fire_qat_pretrained_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_fire_qat_pretrained_phase7_detection/ssd_alexnet_fire_qat_pretrained_phase7_detection.log,text_log,100
Phase 7,ssd_alexnet_tv_fp32_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_tv_fp32_phase7_detection/ssd_alexnet_tv_fp32_phase7_detection.log,text_log,978
Phase 7,ssd_alexnet_tv_fp32_pretrained_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_tv_fp32_pretrained_phase7_detection/ssd_alexnet_tv_fp32_pretrained_phase7_detection.log,text_log,839
Phase 7,ssd_alexnet_tv_int8_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_tv_int8_phase7_detection/ssd_alexnet_tv_int8_phase7_detection.log,text_log,0
Phase 7,ssd_alexnet_tv_int8_pretrained_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_tv_int8_pretrained_phase7_detection/ssd_alexnet_tv_int8_pretrained_phase7_detection.log,text_log,0
Phase 7,ssd_alexnet_tv_qat_phase7_detection,,outputs/detection_segmentation/phase7/ssd_alexnet_tv_qat_phase7_detection/ssd_alexnet_tv_qat_phase7_detection.log,text_log,190
