model,precision,top1_%,top5_%,loss,params_M,size_MB
alexnet_small_kernel,FP32,45.836564898490906,71.07693552970886,2.3493072986602783,1.602376,18.353315353393555
alexnet_stacked,FP32,45.21975517272949,70.96072435379028,2.35379695892334,60.483976,692.2550354003906
alexnet_3x3_gap,FP32,40.316811203956604,66.32042527198792,2.6120641231536865,2.302984,26.37101173400879
alexnet_mixed,FP32,38.74005675315857,64.82577323913574,2.6837058067321777,1.750024,20.042604446411133
alexnet_3x3_fc,FP32,35.78716218471527,61.28220558166504,2.884495735168457,57.605128,659.2580509185791
alexnet_2x2_gap,FP32,33.15201997756958,58.94674062728882,2.9859299659729004,1.052744,12.063150405883789
alexnet_tv,FP32,32.20268785953522,57.60788321495056,3.0082573890686035,57.82324,661.7543239593506
alexnet_2x2_fc,FP32,30.532345175743103,56.028664112091064,3.11851167678833,35.383368,404.9503231048584
alexnet_stacked_INT8,INT8,42.30971932411194,68.34551692008972,2.511702537536621,60.483976,57.94155311584473
alexnet_mixed_INT8,INT8,37.99386024475098,63.80206346511841,2.7242045402526855,1.750024,1.705047607421875
alexnet_3x3_gap_INT8,INT8,37.023475766181946,62.888675928115845,2.774449110031128,2.302984,2.232471466064453
alexnet_3x3_fc_INT8,INT8,36.18548810482025,62.16447353363037,2.858550548553467,57.605128,55.1247501373291
alexnet_small_kernel_INT8,INT8,36.162835359573364,61.6033136844635,3.1117703914642334,1.602376,1.5610408782958984
alexnet_2x2_fc_INT8,INT8,31.539398431777954,57.15075135231018,3.077484607696533,35.383368,33.9323673248291
alexnet_2x2_gap_INT8,INT8,30.817538499832153,56.08581900596619,3.103276491165161,1.052744,1.0401496887207031
alexnet_tv_INT8,INT8,26.27626061439514,51.75224542617798,3.3020150661468506,57.82324,55.33261299133301
