model,method,precision,fp32_baseline_acc,compressed_top1_acc,acc_drop_pp,compression_ratio,compressed_size_mb,latency_ms,acc_per_mb,notes
mobilenetv2,int8,int8,57.99558162689209,55.413031578063965,2.582550048828125,3.958494753378128,2.3651809692382812,0.31832682590011246,23.428664571028584,fake-quant W8/A8 PTQ
alexnet_final_fire_residual,int8,int8,49.793291091918945,49.75736141204834,0.03592967987060547,3.9797670983477036,0.6662979125976562,0.19809225059998425,74.67734848224612,fake-quant W8/A8 PTQ
alexnet_fire,mixed,int4/8,43.976473808288574,44.69617307186127,-0.7196992635726929,6.70671922313877,0.292266845703125,0.33169840439986725,152.92933060653127,per-layer INT4/INT8 (5 hi / 11 lo)
alexnet_bottleneck,mixed,int4/8,44.62297856807709,44.60912048816681,0.01385807991027832,6.946494129620879,0.20989227294921875,0.3008732520000194,212.53340993148194,per-layer INT4/INT8 (5 hi / 11 lo)
alexnet_bottleneck,int4_qat,int4,44.62297856807709,44.337183237075806,0.28579533100128174,7.866021815188311,0.18535614013671875,0.1909397260998958,239.1999704157234,"fake-quant W4/A8 QAT, per-channel"
alexnet_depthwisesep,mixed,int4/8,44.390010833740234,44.2691445350647,0.12086629867553711,7.502487922924239,0.15783262252807617,0.09433485179997661,280.48158755766633,per-layer INT4/INT8 (3 hi / 8 lo)
alexnet_depthwisesep,int4_qat,int4,44.390010833740234,41.32472276687622,3.0652880668640137,7.8105698191185216,0.15160703659057617,0.1237924989000021,272.5778677310084,"fake-quant W4/A8 QAT, per-channel"
alexnet_final_fire_residual,ternary_qat,ternary,49.793291091918945,36.537331342697144,13.255959749221802,15.603367003367003,0.16994476318359375,0.09001068459983799,214.99533529741862,"weight-only TWN QAT (STE), per-channel, A=FP32"
alexnet_fire,ternary_qat,ternary,43.976473808288574,32.80951976776123,11.166954040527344,15.648262630569175,0.12526321411132812,0.1579974383001172,261.92462009318757,"weight-only TWN QAT (STE), per-channel, A=FP32"
alexnet_bottleneck,ternary_qat,ternary,44.62297856807709,31.35175108909607,13.271227478981018,15.436591276252019,0.094451904296875,0.11868647009996493,331.93349909127625,"weight-only TWN QAT (STE), per-channel, A=FP32"
alexnet_final_fire_residual,binary_qat,binary,49.793291091918945,16.92291498184204,32.870376110076904,30.402816655003498,0.08721923828125,0.08350828149996233,194.0273191480056,"weight-only BWN QAT (STE), per-channel, A=FP32"
alexnet_fire,binary_qat,binary,43.976473808288574,15.851357579231262,28.125116229057312,30.579462611955844,0.06410026550292969,0.14348694889995386,247.29004560061892,"weight-only BWN QAT (STE), per-channel, A=FP32"
alexnet_depthwisesep,ternary_qat,ternary,44.390010833740234,15.165412425994873,29.22459840774536,15.209547170851362,0.07785487174987793,0.10211937069980195,194.7907958119352,"weight-only TWN QAT (STE), per-channel, A=FP32"
alexnet_bottleneck,binary_qat,binary,44.62297856807709,12.624388933181763,31.998589634895325,29.755546905410664,0.048999786376953125,0.10213731410003675,257.64171370182953,"weight-only BWN QAT (STE), per-channel, A=FP32"
alexnet_depthwisesep,binary_qat,binary,44.390010833740234,4.683564975857735,39.7064458578825,28.896347689488152,0.04097878932952881,0.10846253390009224,114.29241938299079,"weight-only BWN QAT (STE), per-channel, A=FP32"
