phase,model_name,fp32_size_mb,int8_size_mb,compression_ratio,param_efficiency_top1_per_m,accuracy_per_mb_fp32,winograd_friendly
Phase 3 - Compensation,alexnet_depthwisesep,1.2304954528808594,0.39975547790527344,3.078120303263084,141.8181934122133,36.07490846862822,True
Phase 3 - Compensation,alexnet_bottleneck,1.5106220245361328,0.4317798614501953,3.4985930549481616,116.05194805194805,29.53947304043808,True
Phase 4 - Final Architecture,alexnet_final_depthwise_fire,1.8476314544677734,0.5093898773193359,3.6271459970718958,91.65734932757238,23.519774365612978,True
Phase 3 - Compensation,alexnet_fire,2.009584426879883,0.5513744354248047,3.644681903562694,85.38182550876485,21.883367138034227,True
Phase 4 - Final Architecture,alexnet_final_bottleneck_fire,1.9724140167236328,0.5452156066894531,3.6176771033758963,83.56897995292334,21.438744484403543,True
Phase 4 - Final Architecture,alexnet_final_bottleneck_residual,2.236154556274414,0.6376895904541016,3.5066505549855984,78.97721703331325,20.16837388230357,True
Phase 4 - Final Architecture,alexnet_final_fire_residual,2.7145843505859375,0.7463092803955078,3.6373450282533524,71.25027194760285,18.34287856303716,True
Phase 2 - AlexNet Variants,alexnet_2x2_gap,4.01988410949707,1.0401496887207031,3.8647169278502504,31.574627829747786,8.247008887457017,
Phase 2 - AlexNet Variants,alexnet_small_kernel,6.1177717844645185,1.5610408782958984,3.9190336842062394,28.60751783601352,7.492362662969607,True
Phase 2 - AlexNet Variants,alexnet_2x2,4.020922978719075,1.0399894714355469,3.866311235986653,28.582447394618256,7.4668958859901355,False
Phase 1 - Baselines,mobilenetv2,9.693723678588867,,,23.414642800692885,5.982797070540658,False
Phase 2 - AlexNet Variants,alexnet_mixed,6.67979621887207,1.705047607421875,3.917659653487498,22.113982436812297,5.799586616685755,False
Phase 1 - Baselines,vgg_style,9.20516586303711,2.3767032623291016,3.873081679543078,21.556670136798587,5.62888352391281,True
Phase 2 - AlexNet Variants,alexnet_3x3_gap,8.78917121887207,2.232471466064453,3.9369691180717292,17.546800151455678,4.587100444395545,
Phase 3 - Compensation,alexnet_gap,8.790210088094076,2.232311248779297,3.93771706024456,16.873760304022955,4.407008195002026,True
Phase 1 - Baselines,resnet18_tv,43.0695603688558,,,4.7858377503477225,1.2517804814760398,False
Phase 2 - AlexNet Variants,alexnet_2x2_fc,134.98190879821777,33.9323673248291,3.9779691026581685,0.867074044505882,0.22619583207543317,
Phase 3 - Compensation,alexnet_residual,231.49182891845703,58.10271072387695,3.984182941456583,0.792150621358596,0.20740662562396395,True
Phase 3 - Compensation,alexnet_factorized,217.72975158691406,54.683115005493164,3.981663289756667,0.7542043739648089,0.19698797744390567,False
Phase 2 - AlexNet Variants,alexnet_stacked,230.7653350830078,57.94155311584473,3.982726086434549,0.7491240324544802,0.19595558040146563,True
Phase 2 - AlexNet Variants,alexnet_3x3_fc,219.75125694274902,55.1247501373291,3.986435428646759,0.6223404277480297,0.1628530488635101,
Phase 2 - AlexNet Variants,alexnet_3x3,219.75268363952637,55.124595642089844,3.986472482561602,0.6223404277480297,0.16285199157530708,True
Phase 1 - Baselines,alexnet_tv,220.58328819274902,55.33261299133301,3.9864968644676146,0.5696671442139873,0.1490952510805287,False
Phase 2 - AlexNet Variants,alexnet_tv,220.58328819274902,55.33261299133301,3.9864968644676146,0.5579071667378029,0.14598879236670015,False
Phase 3 - Compensation,alexnet_groupconv,213.33652687072754,53.538496017456055,3.98473141272347,0.5223556785444972,0.13678857247829568,True
Phase 3 - Compensation,alexnet_se,219.9145908355713,,,0.0074592834147447626,0.002273609890659669,True
