phase,model_name,fp32_top1,fp32_top5,params_m,fp32_size_mb,winograd_friendly
Phase 1 - Baselines,mobilenetv2,57.99558162689209,81.51498436927795,2.480072,9.693723678588867,False
Phase 1 - Baselines,resnet18_tv,53.91363501548767,77.79748439788818,11.279112,43.0695603688558,False
Phase 1 - Baselines,vgg_style,51.81480646133423,75.88169574737549,2.405288,9.20516586303711,True
Phase 4 - Final Architecture,alexnet_final_fire_residual,49.79329109191895,74.80218410491943,0.698664,2.7145843505859375,True
Phase 3 - Compensation,alexnet_residual,48.01293909549713,73.10833930969238,60.67028,231.49182891845703,True
Phase 2 - AlexNet Variants,alexnet_small_kernel,45.836564898490906,71.07693552970886,1.602376,6.1177717844645185,True
Phase 2 - AlexNet Variants,alexnet_stacked,45.21975517272949,70.96072435379028,60.483976,230.7653350830078,True
Phase 4 - Final Architecture,alexnet_final_bottleneck_residual,45.09960114955902,71.15118503570557,0.571304,2.236154556274414,True
Phase 3 - Compensation,alexnet_bottleneck,44.62297856807709,71.03633880615234,0.385,1.5106220245361328,True
Phase 3 - Compensation,alexnet_depthwisesep,44.39001083374024,69.4456160068512,0.313641,1.2304954528808594,True
Phase 3 - Compensation,alexnet_fire,43.976473808288574,70.43158411979675,0.516152,2.009584426879883,True
Phase 4 - Final Architecture,alexnet_final_depthwise_fire,43.45587491989136,69.02325749397278,0.474921,1.8476314544677734,True
Phase 3 - Compensation,alexnet_factorized,42.890143394470215,68.91416311264038,57.06676,217.72975158691406,False
Phase 4 - Final Architecture,alexnet_final_bottleneck_fire,42.28608012199402,68.53951215744019,0.506408,1.9724140167236328,True
Phase 2 - AlexNet Variants,alexnet_3x3_gap,40.31681120395661,66.32042527198792,2.302984,8.78917121887207,
Phase 2 - AlexNet Variants,alexnet_mixed,38.74005675315857,64.82577323913574,1.750024,6.67979621887207,False
Phase 3 - Compensation,alexnet_gap,38.73852789402008,64.8317277431488,2.302984,8.790210088094076,True
Phase 2 - AlexNet Variants,alexnet_3x3,35.78716218471527,61.28220558166504,57.605128,219.75268363952637,True
Phase 2 - AlexNet Variants,alexnet_3x3_fc,35.78716218471527,61.28220558166504,57.605128,219.75125694274902,
Phase 2 - AlexNet Variants,alexnet_2x2_gap,33.15201997756958,58.94674062728882,1.052744,4.01988410949707,
Phase 1 - Baselines,alexnet_tv,32.88792073726654,58.21973085403442,57.82324,220.58328819274902,False
Phase 2 - AlexNet Variants,alexnet_tv,32.20268785953522,57.60788321495056,57.82324,220.58328819274902,False
Phase 2 - AlexNet Variants,alexnet_2x2_fc,30.532345175743103,56.02866411209106,35.383368,134.98190879821777,
Phase 2 - AlexNet Variants,alexnet_2x2,30.023813247680664,55.55385947227478,1.052744,4.020922978719075,False
Phase 3 - Compensation,alexnet_groupconv,29.18199896812439,57.067954540252686,55.919752,213.33652687072754,True
Phase 3 - Compensation,alexnet_se,0.4999999888241291,2.499999850988388,57.646288,219.9145908355713,True
