phase,model_name,fp32_size_mb,int8_size_mb,compression_ratio,param_efficiency_top1_per_m,accuracy_per_mb_fp32,winograd_friendly
Phase 3 - Compensation,alexnet_depthwisesep,1.2304954528808594,0.3997554779052734,9.14062895122312,141.8181934122133,12.148278722197022,True
Phase 3 - Compensation,alexnet_bottleneck,1.5106220245361328,0.4317798614501953,10.402858947684615,116.05194805194805,9.93444165164877,True
Phase 4 - Final Architecture,alexnet_final_depthwise_fire,1.8476314544677734,0.5093898773193359,10.81934121400248,91.65734932757238,7.884921434205149,True
Phase 3 - Compensation,alexnet_fire,2.009584426879883,0.5513744354248047,10.862694972654534,85.38182550876485,7.342368758194204,True
Phase 4 - Final Architecture,alexnet_final_bottleneck_fire,1.9724140167236328,0.5452156066894531,10.789825083085534,83.56897995292334,7.188110506808496,True
Phase 4 - Final Architecture,alexnet_final_bottleneck_residual,2.236154556274414,0.6376895904541016,10.434481490011455,78.97721703331325,6.777858539040756,True
Phase 4 - Final Architecture,alexnet_final_fire_residual,2.7145843505859375,0.7463092803955078,10.844909412928304,71.25027194760285,6.152137892971379,True
Phase 2 - AlexNet Variants,alexnet_2x2_gap,4.01988410949707,1.0401496887207031,11.597513835456176,31.574627829747783,2.748205805458557,
Phase 2 - AlexNet Variants,alexnet_small_kernel,6.1177717844645185,1.5610408782958984,11.757101052618715,28.60751783601352,2.4974542209898694,True
Phase 2 - AlexNet Variants,alexnet_2x2,4.020922978719075,1.0399894714355469,11.59893370795996,28.582447394618256,2.488965295330045,False
Phase 1 - Baselines,mobilenetv2,9.693723678588867,,,23.414642800692885,2.017102597674756,False
Phase 2 - AlexNet Variants,alexnet_mixed,6.67979621887207,1.705047607421875,11.75486500152136,22.113982436812297,1.9328853621164708,False
Phase 1 - Baselines,vgg_style,9.20516586303711,2.3767032623291016,11.606334118999069,21.556670136798587,1.87838170340634,True
Phase 2 - AlexNet Variants,alexnet_3x3_gap,8.78917121887207,2.232471466064453,11.812474262211886,17.546800151455678,1.528830657337387,
Phase 3 - Compensation,alexnet_gap,8.790210088094076,2.232311248779297,11.81315118073368,16.873760304022955,1.4690027316673424,True
Phase 1 - Baselines,resnet18_tv,43.0695603688558,,,4.7858377503477225,0.4172601604920133,False
Phase 2 - AlexNet Variants,alexnet_2x2_fc,134.98190879821777,33.9323673248291,11.934042774803595,0.867074044505882,0.0753977548200079,
Phase 3 - Compensation,alexnet_residual,231.49182891845703,58.10271072387695,11.951491165185953,0.792150621358596,0.0691416600936935,True
Phase 3 - Compensation,alexnet_factorized,217.72975158691406,54.68311500549317,11.944247726894677,0.7542043739648089,0.0656667390233148,False
Phase 2 - AlexNet Variants,alexnet_stacked,230.7653350830078,57.94155311584473,11.947471170065793,0.7491240324544802,0.0653223925580765,True
Phase 2 - AlexNet Variants,alexnet_3x3_fc,219.75125694274902,55.1247501373291,11.959383929654242,0.6223404277480297,0.054283997191769,
Phase 2 - AlexNet Variants,alexnet_3x3,219.75268363952637,55.12459564208984,11.959417447684809,0.6223404277480297,0.054283997191769,True
Phase 1 - Baselines,alexnet_tv,220.58328819274902,55.33261299133301,11.959567876498715,0.5696671442139873,0.0496980958741417,False
Phase 2 - AlexNet Variants,alexnet_tv,220.58328819274902,55.33261299133301,11.959571185676774,0.5579071667378029,0.0486626028627405,False
Phase 3 - Compensation,alexnet_groupconv,213.33652687072754,53.538496017456055,11.953839548285544,0.5223556785444972,0.0455975437393285,True
Phase 3 - Compensation,alexnet_se,219.9145908355713,,,0.0074592834147447,0.0007578601609857,True
