model,precision,device,compute_efficiency_gflops_s,peak_utilization_pct,gpu_utilization_pct,group
alexnet_bottleneck,fp32,nvidia_geforce_gtx_1080_ti_beagle,18.33491925109371,0.16168359127948598,4.363636363636363,dense (Winograd-eligible)
alexnet_final_bottleneck_residual,fp32,nvidia_geforce_gtx_1080_ti_beagle,19.90401959470727,0.1755204549797819,4.032258064516129,dense (Winograd-eligible)
alexnet_final_fire_residual,fp32,nvidia_geforce_gtx_1080_ti_beagle,21.011541726001035,0.18528696407408318,3.433333333333333,dense (Winograd-eligible)
vgg_style,fp32,nvidia_geforce_gtx_1080_ti_beagle,148.446986298932,1.3090563165690652,5.75,dense (Winograd-eligible)
alexnet_depthwisesep,fp32,nvidia_geforce_gtx_1080_ti_beagle,12.606590858380015,0.1111692315553793,2.125,depthwise (not eligible)
mobilenetv2,fp32,nvidia_geforce_gtx_1080_ti_beagle,4.290264676397069,0.037833021837716654,3.8333333333333335,depthwise (not eligible)
alexnet_bottleneck,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,102.90017718809501,0.7281875110614607,0.0,dense (Winograd-eligible)
alexnet_final_bottleneck_residual,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,107.72291017078378,0.7623162562506813,5.333333333333333,dense (Winograd-eligible)
alexnet_final_fire_residual,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,117.54818977203374,0.8318462229993188,10.333333333333334,dense (Winograd-eligible)
vgg_style,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,751.3984562845467,5.317376380189277,0.0,dense (Winograd-eligible)
alexnet_depthwisesep,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,84.16717271968997,0.5956207821080601,0.0,depthwise (not eligible)
mobilenetv2,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,22.557206470467516,0.15962922985257602,12.142857142857142,depthwise (not eligible)
