model,precision,device,latency_ms,accuracy,efficiency,energy_per_accuracy
alexnet_tv,fp32,nvidia_geforce_gtx_1080_ti_beagle,1.3772797584533691,32.88792073726654,23.878896451798855,3.3369423147692125
vgg_style,fp32,nvidia_geforce_gtx_1080_ti_beagle,3.1335794925689697,51.81480646133423,16.535341319474693,2.438715912837357
alexnet_depthwisesep,fp32,nvidia_geforce_gtx_1080_ti_beagle,3.2510435581207275,44.39001083374024,13.654080617547917,2.8584403515122303
alexnet_bottleneck,int8,nvidia_geforce_gtx_1080_ti_beagle,3.55729341506958,44.539082050323486,12.52049714584826,3.0899110292158602
alexnet_bottleneck,fp32,nvidia_geforce_gtx_1080_ti_beagle,4.437371492385864,44.62297856807709,10.056173715598561,3.9602085823927147
alexnet_depthwisesep,int8,nvidia_geforce_gtx_1080_ti_beagle,4.184360504150391,41.46906137466431,9.910489627634115,3.89733977893947
alexnet_final_fire_residual,fp32,nvidia_geforce_gtx_1080_ti_beagle,5.3401994705200195,49.79329109191895,9.32423804893381,4.112328871496139
alexnet_fire,fp32,nvidia_geforce_gtx_1080_ti_beagle,4.818723201751709,43.976473808288574,9.126167237060262,4.19183822440992
alexnet_final_bottleneck_residual,fp32,nvidia_geforce_gtx_1080_ti_beagle,5.607917308807373,45.09960114955902,8.042130200231195,4.985639412946823
alexnet_final_fire_residual,int8,nvidia_geforce_gtx_1080_ti_beagle,6.185287237167358,49.20102655887604,7.954525743481617,4.771183251383705
alexnet_fire,int8,nvidia_geforce_gtx_1080_ti_beagle,5.649590492248535,44.30399537086487,7.841983490954208,4.746418221393662
alexnet_final_bottleneck_residual,int8,nvidia_geforce_gtx_1080_ti_beagle,6.610809564590454,45.980674028396606,6.955377186280384,5.474224200630168
vgg_style,int8,nvidia_geforce_gtx_1080_ti_beagle,7.404576539993286,51.18874311447144,6.9131222883567975,5.462380627456496
mobilenetv2,fp32,nvidia_geforce_gtx_1080_ti_beagle,12.789603471755981,57.99558162689209,4.534587937379534,8.398177133880848
alexnet_tv,int8,nvidia_geforce_gtx_1080_ti_beagle,10.12802004814148,31.90320134162903,3.149993897127342,13.315771829987245
mobilenetv2,int8,nvidia_geforce_gtx_1080_ti_beagle,15.71681022644043,,,
alexnet_dilated_gap,fp32,nvidia_geforce_gtx_1080_ti_beagle,1.8037545680999756,,,
alexnet_dilated_gap,int8,nvidia_geforce_gtx_1080_ti_beagle,4.242525100708008,,,
alexnet_depthwisesep,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,0.4869425296783447,44.39001083374024,91.16067734535851,0.2530696422164597
vgg_style,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,0.6190729141235352,51.81480646133423,83.69742122330142,0.2608204611437002
alexnet_bottleneck,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,0.7906579971313477,44.62297856807709,56.43777553629691,0.3846714331615997
alexnet_bottleneck,int8,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,0.8194839954376221,44.539082050323486,54.35015485145461,0.4060706001725279
alexnet_final_fire_residual,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,0.9545516967773438,49.79329109191895,52.1640590656596,0.4248135669831006
alexnet_fire,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,0.9058475494384766,43.976473808288574,48.54732326156761,0.43462746414082465
alexnet_final_bottleneck_residual,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,1.0361778736114502,45.09960114955902,43.52496062512008,0.505457091379949
alexnet_final_bottleneck_residual,int8,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,1.1582982540130615,45.980674028396606,39.69674811223371,0.5592397628449173
alexnet_fire,int8,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,1.2840700149536133,44.30399537086487,34.502787897017704,0.6477737412614086
alexnet_depthwisesep,int8,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,1.3371455669403076,41.46906137466431,31.01312407560452,0.738397071645341
alexnet_final_fire_residual,int8,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,1.6043424606323242,49.20102655887604,30.667409088882614,0.7196564905771808
alexnet_tv,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,1.1525189876556396,32.88792073726654,28.535686691083914,1.8695887916609841
mobilenetv2,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.4325168132781982,57.99558162689209,23.841800932398876,0.8948269375613456
alexnet_tv,int8,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,1.4773428440093994,31.90320134162903,21.594988239186304,1.1143789352166262
vgg_style,int8,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.723112106323242,51.18874311447144,18.797883126297986,1.2242259933333908
mobilenetv2,int8,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.7932190895080566,,,
alexnet_dilated_gap,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,0.34199953079223633,,,
alexnet_dilated_gap,int8,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,1.2995076179504395,,,
resnet18tv,fp32,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,1.2239539623260498,,,
resnet18tv,int8,nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,1.7241859436035156,,,
