device,kernel_size,in_ch,out_ch,batch_size,input_resolution,precision,groups_mode,latency_median_ms,latency_mean_ms,latency_std_ms,n,cudnn_kernel_name
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,1.0,64.0,fp32,dense,0.012191534042358398,0.012191534042358398,,1,_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,1.0,64.0,fp32,depthwise,0.010663270950317383,0.010663270950317383,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,1.0,64.0,fp32_cpu,dense,0.05792379379272461,0.05792379379272461,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,1.0,64.0,fp32_cpu,depthwise,0.06032586097717285,0.06032586097717285,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,1.0,64.0,int8,dense,0.07964730262756348,0.07964730262756348,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,1.0,64.0,int8,depthwise,0.5889010429382324,0.5889010429382324,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,1.0,128.0,fp32,dense,0.017845630645751953,0.017845630645751953,,1,_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,1.0,128.0,fp32,depthwise,0.01778721809387207,0.01778721809387207,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,8.0,64.0,fp32,dense,0.030504465103149414,0.030504465103149414,,1,_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,8.0,64.0,fp32,depthwise,0.033342838287353516,0.033342838287353516,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,8.0,128.0,fp32,dense,0.09469389915466309,0.09469389915466309,,1,_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,8.0,128.0,fp32,depthwise,0.12752652168273926,0.12752652168273926,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,64.0,64.0,fp32,dense,0.17545580863952637,0.17545580863952637,,1,_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,64.0,64.0,fp32,depthwise,0.24955034255981445,0.24955034255981445,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,64.0,128.0,fp32,dense,0.8283591270446777,0.8283591270446777,,1,_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,16.0,16.0,64.0,128.0,fp32,depthwise,1.1095142364501953,1.1095142364501953,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,1.0,64.0,fp32,dense,0.016601085662841797,0.016601085662841797,,1,_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,1.0,64.0,fp32,depthwise,0.010828971862792969,0.010828971862792969,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,1.0,64.0,fp32_cpu,dense,0.12463927268981934,0.12463927268981934,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,1.0,64.0,fp32_cpu,depthwise,0.08753299713134766,0.08753299713134766,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,1.0,64.0,int8,dense,0.13684391975402832,0.13684391975402832,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,1.0,64.0,int8,depthwise,0.8710956573486328,0.8710956573486328,,1,
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,1.0,128.0,fp32,dense,0.025813579559326172,0.025813579559326172,,1,_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,1.0,128.0,fp32,depthwise,0.030453205108642578,0.030453205108642578,,1,"void at::native::(anonymous namespace)::conv_depthwise2d_forward_kernel_generic<float, int>(at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 4ul, at::DefaultPtrTraits, int>, at::GenericPackedTensorAccessor<float const, 1ul, at::DefaultPtrTraits, int>, bool, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)"
nvidia_geforce_rtx_4060_laptop_gpu_rafael_predator_phn16_71,2.0,32.0,32.0,8.0,64.0,fp32,dense,0.046564340591430664,0.046564340591430664,,1,_5x_cudnn_ampere_scudnn_128x32_relu_interior_nn_v1
