run_dir,model,stage,pretrained,git_hash,post_fix,status,best_val_mAP,best_val_mAP50,best_epoch,total_time_s,params_m,macs,model_size_mb,latency_ms_per_image
ssd_alexnet_bottleneck_fp32_phase7_detection,alexnet_bottleneck,fp32,False,baa3528eb2799b9aa61a0cbfb918a6eed1f7f758,True,complete,0.20983858406543732,0.4745785892009735,549.0,107015.73214960098,1.532362,4465786880.0,5.964868545532227,8.025433192065416
ssd_alexnet_bottleneck_fp32_pretrained_phase7_detection,alexnet_bottleneck,fp32,True,,,running,,,,,,,,
ssd_alexnet_bottleneck_int8_phase7_detection,alexnet_bottleneck,int8,False,,,not_started,,,,,,,,
ssd_alexnet_bottleneck_int8_pretrained_phase7_detection,alexnet_bottleneck,int8,True,,,not_started,,,,,,,,
ssd_alexnet_bottleneck_qat_phase7_detection,alexnet_bottleneck,qat,False,4e02ab24ac1084f3578362201ece86f4e68215e3,True,complete,0.20971114933490753,0.47781383991241455,63.0,34361.207653045654,1.532362,4465786880.0,6.167522430419922,9.358137989273438
ssd_alexnet_bottleneck_qat_pretrained_phase7_detection,alexnet_bottleneck,qat,True,5b578dc43677c8d542df7adb36909cb363006618,True,complete,0.20260360836982727,0.47236335277557373,47.0,52675.58417272568,1.532362,4465786880.0,6.172933578491211,8.027234016201245
ssd_alexnet_fire_fp32_phase7_detection,alexnet_fire,fp32,False,f05344c9a8272b6b95d40c42a8eca25128573440,False,complete,0.004998334217816591,0.02047916129231453,25.0,9803.783799171448,1.108624,15251013632.0,4.329904556274414,16.231539345776234
ssd_alexnet_fire_fp32_pretrained_phase7_detection,alexnet_fire,fp32,True,,,running,,,,,,,,
ssd_alexnet_fire_qat_phase7_detection,alexnet_fire,qat,False,,,running,,,,,,,,
ssd_alexnet_tv_fp32_phase7_detection,alexnet_tv,fp32,False,f05344c9a8272b6b95d40c42a8eca25128573440,False,complete,0.0714186355471611,0.16584855318069458,27.0,9486.553734064102,58.393696,3744391616.0,222.8115291595459,12.159215523682247
ssd_alexnet_tv_fp32_pretrained_phase7_detection,alexnet_tv,fp32,True,,,running,,,,,,,,
ssd_alexnet_tv_int8_phase7_detection,alexnet_tv,int8,False,,,not_started,,,,,,,,
ssd_alexnet_tv_qat_phase7_detection,alexnet_tv,qat,False,5b578dc43677c8d542df7adb36909cb363006618,True,complete,0.14685945212841034,0.3297969698905945,69.0,41810.59274673462,58.551722,1835279040.0,223.54204559326172,6.4326137205800755
