phase,base_model,top1_%_FP32,top1_%_INT8,qat_top1_drop_%,top5_%_FP32,top5_%_INT8,qat_top5_drop_%,loss_FP32,loss_INT8,params_M_FP32,size_MB_FP32,size_MB_INT8
Phase 1 — Baselines,mobilenetv2,57.99558162689209,,,81.51498436927795,,,1.7545263767242432,,2.480072,28.751924514770508,
Phase 1 — Baselines,resnet18_tv,53.91363501548767,,,77.79748439788818,,,1.965943932533264,,11.279112,129.20868110656738,
Phase 1 — Baselines,vgg_style,51.81480646133423,51.18874311447144,0.6260633468627859,75.88169574737549,75.5200743675232,0.3616213798522949,2.0700058937072754,2.093930959701538,2.405288,27.58481216430664,2.3767032623291016
Phase 1 — Baselines,alexnet_tv,32.88792073726654,31.90320134162903,0.9847193956375122,58.21973085403442,57.23748803138733,0.9822428226470876,2.993847608566284,3.041804075241089,57.82324,661.7541408538818,55.33261299133301
Phase 2 — AlexNet Variants,alexnet_small_kernel,45.836564898490906,35.94608008861542,9.890484809875488,71.07693552970886,61.60731911659241,9.469616413116455,2.3493072986602783,3.1197876930236816,1.602376,18.353315353393555,1.5610408782958984
Phase 2 — AlexNet Variants,alexnet_stacked,44.5596843957901,42.79284477233887,1.766839623451233,70.79172134399414,68.71417760848999,2.0775437355041504,2.386047124862671,2.470658302307129,60.483976,692.2546691894531,57.94155311584473
Phase 2 — AlexNet Variants,alexnet_mixed,38.74005675315857,37.99386024475098,0.7461965084075928,64.82577323913574,63.80206346511841,1.023709774017334,2.6837058067321777,2.724204540252685,1.750024,20.042604446411133,1.705047607421875
Phase 2 — AlexNet Variants,alexnet_3x3,35.78716218471527,36.19011640548706,-0.40295422077178955,61.28220558166504,61.98274493217468,-0.7005393505096436,2.884495735168457,2.861196279525757,57.605128,659.2580509185791,55.12459564208984
Phase 2 — AlexNet Variants,alexnet_2x2,30.023813247680664,30.88858127593994,-0.8647680282592773,55.55385947227478,56.48301243782044,-0.9291529655456614,3.16207218170166,3.104257822036743,1.052744,12.062768936157228,1.0399894714355469
Phase 2 — AlexNet Variants,alexnet_tv,24.28814321756363,26.27626061439514,-1.9881173968315125,49.215373396873474,51.75224542617798,-2.5368720293045044,3.4389357566833496,3.3020150661468506,57.82324,661.7541408538818,55.33261299133301
Phase 3 — Compensation,alexnet_residual,48.01293909549713,47.2737044095993,0.7392346858978343,73.10833930969238,72.4995493888855,0.6087899208068848,2.247621774673462,2.31097149848938,60.67028,694.4140338897705,58.10271072387695
Phase 3 — Compensation,alexnet_bottleneck,44.62297856807709,44.539082050323486,0.08389651775360107,71.03633880615234,71.01452946662903,0.02180933952331543,2.362962484359741,2.3611302375793457,0.385,4.491744995117188,0.4317798614501953
Phase 3 — Compensation,alexnet_depthwisesep,44.39001083374024,41.46906137466431,2.920949459075935,69.4456160068512,66.99280738830566,2.4528086185455322,2.4159719944000244,2.555845260620117,0.313641,3.654016494750977,0.3997554779052734
Phase 3 — Compensation,alexnet_fire,43.976473808288574,44.30399537086487,-0.32752156257629395,70.43158411979675,70.88165879249573,-0.4500746726989746,2.4098563194274902,2.384477138519287,0.516152,5.989412307739258,0.5513744354248047
Phase 3 — Compensation,alexnet_factorized,42.890143394470215,42.59788990020752,0.2922534942626953,68.91416311264038,67.79850721359253,1.1156558990478516,2.497375965118408,2.5493292808532715,57.06676,653.1486721038818,54.68311500549317
Phase 3 — Compensation,alexnet_gap,38.73852789402008,37.599918246269226,1.1386096477508545,64.8317277431488,62.96749114990234,1.864236593246467,2.6885793209075928,2.77510666847229,2.302984,26.370630264282227,2.232311248779297
Phase 3 — Compensation,alexnet_groupconv,29.18199896812439,27.70700454711914,1.474994421005249,57.067954540252686,55.09711503982544,1.970839500427246,3.078163385391236,3.1615710258483887,55.919752,639.9905910491943,53.538496017456055
Phase 3 — Compensation,alexnet_se,0.4999999888241291,,,2.499999850988388,,,5.298777580261231,,57.646288,659.7523059844971,
