config,model_name,mode,epochs,best_val_top1,best_val_top5,final_val_top1,final_val_top5,best_val_loss,final_train_loss,fp32_top1,fp32_top5,fp32_loss,fp32_top1_top5_gap,int8_top1,int8_top5,int8_loss,int8_top1_top5_gap,quantization_drop_top1,fp32_size_mb,int8_size_mb,params_m,compression_ratio,param_efficiency_top1_per_m,macs,flops,fp32_latency_ms_per_image,fp32_throughput_img_per_s,int8_latency_ms_per_image,int8_throughput_img_per_s,avg_epoch_time_s,total_training_time_s,peak_gpu_mem_mb,avg_images_per_sec,avg_batch_time_s,avg_cpu_percent,avg_ram_used_mb,avg_gpu_power_w,avg_gpu_utilization_pct,avg_gpu_temp_c,total_gpu_energy_wh,fp32_gzip_mb,int8_gzip_mb,fp32_gzip_ratio,int8_gzip_ratio,epochs_used,epochs_budget,fp32_ece,fp32_bs1_latency_ms_per_image,fp32_bs1_throughput_img_per_s,fp32_cpu_latency_ms_per_image,fp32_cpu_throughput_img_per_s,fp32_cpu_bs1_latency_ms_per_image,int8_ece,int8_bs1_latency_ms_per_image,int8_bs1_throughput_img_per_s,qat_top1,qat_top5,qat_ece,qat_best_val_top1,qat_best_val_top5,qat_best_epoch,qat_epochs_used,qat_epochs_budget,qat_total_training_time_s,qat_total_gpu_energy_wh,agreement_fp32_qat,agreement_fp32_int8,layer_stats_path,fp32_gzip_compression_ratio,fp32_size_excludes_optimizer
"{'experiment': {'name': 'large_scale', 'models': ['resnet18tv'], 'seed': 42, 'stages': ['fp32', 'qat', 'int8'], 'data': {'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9}, 'training': {'epochs': 1000, 'lr': 0.0003, 'weight_decay': 0.0005, 'label_smoothing': 0.1, 'grad_clip_norm': None, 'use_amp': True, 'early_stopping_patience': 20}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}}, 'runtime': {'name': 'pcad', 'root': 'outputs/pcad', 'dataset_root': '${PCAD_DATASET_ROOT}', 'device': 'cuda', 'conda_env': 'alexnet_rafael', 'wandb': True, 'wandb_mode': 'offline', 'tensorboard': True, 'distributed': False, 'devices': 1, 'launcher': 'single', 'use_kagglehub_fallback': True, 'persistent_workers': True, 'benchmark_warmup': 100, 'quantized_engine': 'fbgemm'}, 'data': {'dataset_path': '/home/users/rsdsouza/.cache/kagglehub/datasets/akash2sharma/tiny-imagenet/versions/1/tiny-imagenet-200/train', 'img_size': 64, 'num_classes': 200, 'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9, 'seed': 42}, 'training': {'epochs': 1000, 'lr': 0.0001, 'weight_decay': 0.0005, 'label_smoothing': 0.1, 'grad_clip_norm': None, 'use_amp': True, 'early_stopping_patience': 20}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}, 'selected_model': 'resnet18tv', 'stage_list': ['fp32', 'qat', 'int8']}",resnet18tv,fp32/qat/int8,15,53.42,78.15,51.58,75.21,2.563546032333374,1.8431726584732957,51.52513384819031,75.21325349807739,2.155514717102051,23.688119649887085,55.57721257209778,79.15862798690796,1.9217315912246704,23.58141541481018,-4.052078723907471,129.20936012268066,10.969806671142578,11.279112,11.778636032171992,4.736188451714994,148555776,297111552,0.36084497338160876,2771.2731886733472,0.8343874000012874,1198.4840614784655,65.42005920410156,2443.915212392807,254.39404296875,1395.8480178507855,0.04652920284786741,22.438888888888886,5952.681423611111,66.17823857036865,8.575368209544926,44.81337641323935,43.178338249444806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'experiment': {'name': 'large_scale', 'models': ['mobilenetv2'], 'seed': 42, 'stages': ['fp32', 'qat', 'int8'], 'data': {'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9}, 'training': {'epochs': 1000, 'lr': 0.0003, 'weight_decay': 0.0005, 'label_smoothing': 0.1, 'grad_clip_norm': None, 'use_amp': True, 'early_stopping_patience': 20}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}}, 'runtime': {'name': 'pcad', 'root': 'outputs/pcad', 'dataset_root': '${PCAD_DATASET_ROOT}', 'device': 'cuda', 'conda_env': 'alexnet_rafael', 'wandb': True, 'wandb_mode': 'offline', 'tensorboard': True, 'distributed': False, 'devices': 1, 'launcher': 'single', 'use_kagglehub_fallback': True, 'persistent_workers': True, 'benchmark_warmup': 100, 'quantized_engine': 'fbgemm'}, 'data': {'dataset_path': '/home/users/rsdsouza/.cache/kagglehub/datasets/akash2sharma/tiny-imagenet/versions/1/tiny-imagenet-200/train', 'img_size': 64, 'num_classes': 200, 'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9, 'seed': 42}, 'training': {'epochs': 1000, 'lr': 0.0001, 'weight_decay': 0.0005, 'label_smoothing': 0.1, 'grad_clip_norm': None, 'use_amp': True, 'early_stopping_patience': 20}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}, 'selected_model': 'mobilenetv2', 'stage_list': ['fp32', 'qat', 'int8']}",mobilenetv2,fp32/qat/int8,26,57.48,81.03,56.57,80.21,2.4151587894439697,2.005240836404635,56.54877424240112,80.24269342422485,1.862057089805603,23.69391918182373,51.94066762924194,76.49750709533691,2.0391287803649902,24.55683946609497,4.60810661315918,28.753938674926758,3.0438594818115234,2.480072,9.446539449913809,23.17674648155376,25799936,51599872,0.5889652216807008,1697.8931237167956,0.5857625683769583,1707.176344112971,81.39863750782419,3870.417448759079,193.2529296875,1118.3769958904957,0.05789376778650371,20.476595744680846,6136.334441489362,65.7589524333022,6.859989192043231,44.92623233611335,69.73666516115641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'experiment': {'name': 'large_scale', 'models': ['alexnet_final_fire_residual'], 'seed': 42, 'stages': ['fp32', 'qat', 'int8'], 'data': {'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9}, 'training': {'epochs': 1000, 'lr': 0.0003, 'weight_decay': 0.0005, 'label_smoothing': 0.1, 'grad_clip_norm': None, 'use_amp': True, 'early_stopping_patience': 50}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}}, 'runtime': {'name': 'pcad', 'root': 'outputs/pcad', 'dataset_root': '${PCAD_DATASET_ROOT}', 'device': 'cuda', 'conda_env': 'alexnet_rafael', 'wandb': True, 'wandb_mode': 'offline', 'tensorboard': True, 'distributed': False, 'devices': 1, 'launcher': 'single', 'use_kagglehub_fallback': True, 'persistent_workers': True, 'benchmark_warmup': 100, 'quantized_engine': 'fbgemm'}, 'data': {'dataset_path': '/home/users/rsdsouza/.cache/kagglehub/datasets/akash2sharma/tiny-imagenet/versions/1/tiny-imagenet-200/train', 'img_size': 64, 'num_classes': 200, 'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9, 'seed': 42}, 'training': {'epochs': 1000, 'lr': 0.001, 'weight_decay': 0.0005, 'label_smoothing': 0.1, 'grad_clip_norm': None, 'use_amp': True, 'early_stopping_patience': 50, 'warmup_epochs': 0}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}, 'selected_model': 'alexnet_final_fire_residual', 'stage_list': ['fp32', 'qat', 'int8']}",alexnet_final_fire_residual,fp32/qat/int8,42,51.77,75.61,51.13,75.41,2.7678738018035887,2.2548757838999394,51.21769309043884,74.92501735687256,2.1118576526641846,23.707324266433716,50.040364265441895,74.12177324295044,2.1548099517822266,24.081408977508545,1.1773288249969482,8.094205856323242,0.7470588684082031,0.698664,10.834763093797394,74.09856526169948,55236608,110473216,0.2213870191015303,4516.976668543471,0.28032617922872305,3567.2729630580898,35.9799062641718,3430.576031923294,331.365234375,2505.4667051597194,0.02559026050083343,8.498924731182795,4980.283140120968,71.83090565310708,17.12196657451541,37.9180117089668,66.72568418408045,7.374591827392578,0.6357183456420898,1.0975801842018824,1.1751412768395992,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'experiment': {'name': 'large_scale', 'models': ['alexnet_final_bottleneck_residual'], 'seed': 42, 'stages': ['fp32', 'qat', 'int8'], 'data': {'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9}, 'training': {'epochs': 1000, 'lr': 0.0003, 'weight_decay': 0.0005, 'label_smoothing': 0.1, 'grad_clip_norm': None, 'use_amp': True, 'early_stopping_patience': 20}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}}, 'runtime': {'name': 'pcad', 'root': 'outputs/pcad', 'dataset_root': '${PCAD_DATASET_ROOT}', 'device': 'cuda', 'conda_env': 'alexnet_rafael', 'wandb': True, 'wandb_mode': 'offline', 'tensorboard': True, 'distributed': False, 'devices': 1, 'launcher': 'single', 'use_kagglehub_fallback': True, 'persistent_workers': True, 'benchmark_warmup': 100, 'quantized_engine': 'fbgemm'}, 'data': {'dataset_path': '/home/users/rsdsouza/.cache/kagglehub/datasets/akash2sharma/tiny-imagenet/versions/1/tiny-imagenet-200/train', 'img_size': 64, 'num_classes': 200, 'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9, 'seed': 42}, 'training': {'epochs': 1000, 'lr': 0.001, 'weight_decay': 0.0005, 'label_smoothing': 0.1, 'grad_clip_norm': None, 'use_amp': True, 'early_stopping_patience': 20}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}, 'selected_model': 'alexnet_final_bottleneck_residual', 'stage_list': ['fp32', 'qat', 'int8']}",alexnet_final_bottleneck_residual,fp32/qat/int8,74,50.04,74.95,48.97,74.19,2.7735929206848144,2.620147176691004,48.909345269203186,74.20153617858887,2.1716723442077637,25.29219090938568,49.51888024806976,74.31813478469849,2.1375796794891357,24.799254536628723,-0.6095349788665771,6.653960227966309,0.6352424621582031,0.571304,10.474677976279837,87.58909442258411,54175744,108351488,0.20122504988685253,4969.560204170869,0.326736621838063,3060.5690735690455,34.86236774043033,3397.4520807266235,187.15087890625,2584.9130251048514,0.024795425135441213,8.286315789473687,4957.870394736842,61.369176272443895,9.61477787664736,37.583954990218466,56.43111557726734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'experiment': {'name': 'large_scale', 'models': ['vgg_style'], 'seed': 42, 'stages': ['fp32', 'qat', 'int8'], 'data': {'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9}, 'training': {'epochs': 1000, 'lr': 0.0003, 'weight_decay': 0.0005, 'label_smoothing': 0.1, 'grad_clip_norm': None, 'use_amp': True, 'early_stopping_patience': 20}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}}, 'runtime': {'name': 'pcad', 'root': 'outputs/pcad', 'dataset_root': '${PCAD_DATASET_ROOT}', 'device': 'cuda', 'conda_env': 'alexnet_rafael', 'wandb': True, 'wandb_mode': 'offline', 'tensorboard': True, 'distributed': False, 'devices': 1, 'launcher': 'single', 'use_kagglehub_fallback': True, 'persistent_workers': True, 'benchmark_warmup': 100, 'quantized_engine': 'fbgemm'}, 'data': {'dataset_path': '/home/users/rsdsouza/.cache/kagglehub/datasets/akash2sharma/tiny-imagenet/versions/1/tiny-imagenet-200/train', 'img_size': 64, 'num_classes': 200, 'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9, 'seed': 42}, 'training': {'epochs': 1000, 'lr': 0.001, 'weight_decay': 0.0005, 'label_smoothing': 0.1, 'grad_clip_norm': None, 'use_amp': True, 'early_stopping_patience': 20}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}, 'selected_model': 'vgg_style', 'stage_list': ['fp32', 'qat', 'int8']}",vgg_style,fp32/qat/int8,75,51.76,75.33,50.35,74.7,2.758228618621826,2.089696870928638,50.36662817001343,74.69758987426758,2.1721134185791016,24.33096170425415,52.50664949417114,75.52240490913391,2.072408437728882,23.01575541496277,-2.140021324157715,27.58487319946289,2.3771228790283203,2.405288,11.604311010938805,21.519252580148404,231086080,462172160,0.5440790511667728,1837.9682104199906,0.9832047503441571,1017.0821486063445,49.81815692037344,5129.806018590927,219.400390625,1912.9090183999226,0.03543254404009491,5.507291666666668,4838.373372395833,61.99234789209962,9.36988743360333,37.27834322831356,81.11918769886928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'experiment': {'name': 'large_scale', 'models': ['alexnet_final_depthwise_fire'], 'seed': 42, 'stages': ['fp32', 'qat', 'int8'], 'data': {'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9}, 'training': {'epochs': 1000, 'lr': 0.0003, 'weight_decay': 0.0005, 'label_smoothing': 0.1, 'grad_clip_norm': None, 'use_amp': True, 'early_stopping_patience': 20}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}}, 'runtime': {'name': 'pcad', 'root': 'outputs/pcad', 'dataset_root': '${PCAD_DATASET_ROOT}', 'device': 'cuda', 'conda_env': 'alexnet_rafael', 'wandb': True, 'wandb_mode': 'offline', 'tensorboard': True, 'distributed': False, 'devices': 1, 'launcher': 'single', 'use_kagglehub_fallback': True, 'persistent_workers': True, 'benchmark_warmup': 100, 'quantized_engine': 'fbgemm'}, 'data': {'dataset_path': '/home/users/rsdsouza/.cache/kagglehub/datasets/akash2sharma/tiny-imagenet/versions/1/tiny-imagenet-200/train', 'img_size': 64, 'num_classes': 200, 'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9, 'seed': 42}, 'training': {'epochs': 1000, 'lr': 0.001, 'weight_decay': 0.0005, 'label_smoothing': 0.1, 'grad_clip_norm': None, 'use_amp': True, 'early_stopping_patience': 20}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}, 'selected_model': 'alexnet_final_depthwise_fire', 'stage_list': ['fp32', 'qat', 'int8']}",alexnet_final_depthwise_fire,fp32/qat/int8,97,43.97,69.25,43.6,69.18,3.0085141807556153,3.070572311813767,43.50949227809906,69.19167041778564,2.419142246246338,25.682178139686584,44.64096128940582,70.050048828125,2.3676934242248535,25.409087538719177,-1.1314690113067627,5.511262893676758,0.5103664398193359,0.474921,10.798638906640656,92.58381920361492,30080000,60160000,0.2177766902372241,4591.859665562463,0.22332429764792325,4477.7931041633765,34.95656980296313,4219.387634754181,105.54833984375,2577.585684889134,0.024862425179916877,7.931355932203392,4933.491128177966,53.73938792496417,5.371164982971586,39.14280786924376,61.562467235088505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'experiment': {'name': 'phase8', 'models': ['hybrid_bottleneck_swin'], 'seed': 42, 'stages': ['fp32', 'qat', 'int8'], 'data': {'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9}, 'training': {'epochs': 1000, 'lr': 0.0005, 'weight_decay': 0.05, 'label_smoothing': 0.1, 'grad_clip_norm': 1.0, 'use_amp': True, 'early_stopping_patience': 50, 'warmup_epochs': 5, 'reset_scheduler_on_resume': True}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}}, 'runtime': {'name': 'pcad', 'root': 'outputs/pcad', 'dataset_root': '${PCAD_DATASET_ROOT}', 'device': 'cuda', 'conda_env': 'alexnet_rafael', 'wandb': True, 'wandb_mode': 'offline', 'tensorboard': True, 'distributed': False, 'devices': 1, 'launcher': 'single', 'use_kagglehub_fallback': True, 'persistent_workers': True, 'benchmark_warmup': 100, 'quantized_engine': 'fbgemm'}, 'data': {'dataset_path': '/home/users/rsdsouza/.cache/kagglehub/datasets/akash2sharma/tiny-imagenet/versions/1/tiny-imagenet-200/train', 'img_size': 64, 'num_classes': 200, 'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9, 'seed': 42}, 'training': {'epochs': 1000, 'lr': 0.0005, 'weight_decay': 0.05, 'label_smoothing': 0.1, 'grad_clip_norm': 1.0, 'use_amp': True, 'early_stopping_patience': 50, 'warmup_epochs': 5, 'reset_scheduler_on_resume': True}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}, 'selected_model': 'hybrid_bottleneck_swin', 'stage_list': ['fp32', 'qat', 'int8']}",hybrid_bottleneck_swin,fp32/qat/int8,99,40.19,66.59,33.75,61.19,inf,3.278054455944349,40.23293852806091,66.65456891059875,2.5847344398498535,26.421630382537842,40.17736613750458,66.35429859161377,2.596519708633423,26.176932454109192,0.05557239055633545,1.049203872680664,0.5417499542236328,0.267824,1.9366939757000068,150.0612342433837,30319360,60638720,0.1897288266569376,5270.680357962537,0.379606831073761,2634.3045439182074,35.1991016552366,5156.457615852356,135.3408203125,2569.5031813981977,0.025034922941135573,8.235862068965519,5033.950942887931,64.10485723264671,9.82543988573269,38.597963419709544,90.3850932762474,0.3146292368570964,0.4659414291381836,1.1079598843330256,1.1626996878677787,,,,,,,,,,,,,,,,,,,,,,,,,3.334731009620728,True
"{'experiment': {'name': 'phase8', 'models': ['swin_pico_poolmixer'], 'seed': 42, 'stages': ['fp32', 'qat', 'int8'], 'data': {'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9}, 'training': {'epochs': 1000, 'lr': 0.0005, 'weight_decay': 0.05, 'label_smoothing': 0.1, 'grad_clip_norm': 1.0, 'use_amp': True, 'early_stopping_patience': 50, 'warmup_epochs': 5, 'reset_scheduler_on_resume': True}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}}, 'runtime': {'name': 'pcad', 'root': 'outputs/pcad', 'dataset_root': '${PCAD_DATASET_ROOT}', 'device': 'cuda', 'conda_env': 'alexnet_rafael', 'wandb': True, 'wandb_mode': 'offline', 'tensorboard': True, 'distributed': False, 'devices': 1, 'launcher': 'single', 'use_kagglehub_fallback': True, 'persistent_workers': True, 'benchmark_warmup': 100, 'quantized_engine': 'fbgemm'}, 'data': {'dataset_path': '/home/users/rsdsouza/.cache/kagglehub/datasets/akash2sharma/tiny-imagenet/versions/1/tiny-imagenet-200/train', 'img_size': 64, 'num_classes': 200, 'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9, 'seed': 42}, 'training': {'epochs': 1000, 'lr': 0.0005, 'weight_decay': 0.05, 'label_smoothing': 0.1, 'grad_clip_norm': 1.0, 'use_amp': True, 'early_stopping_patience': 50, 'warmup_epochs': 5, 'reset_scheduler_on_resume': True}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}, 'selected_model': 'swin_pico_poolmixer', 'stage_list': ['fp32', 'qat', 'int8']}",swin_pico_poolmixer,fp32/qat/int8,99,30.97,57.6,28.35,54.27,inf,3.71920631501617,30.981552600860596,57.59775638580322,3.0516903400421143,26.616203784942627,30.759650468826294,57.83723592758179,3.0446650981903076,27.077585458755493,0.22190213203430176,0.8857622146606445,0.3046274185180664,0.227768,2.9076903811536354,135.97169049207966,21191424,42382848,0.2069668395444751,4831.691889391344,0.2737204980105162,3653.3617586856085,33.457952012618385,4833.757519245148,112.5673828125,2692.183035887191,0.023796551929316057,7.893055555555558,4746.799560546875,75.08243094152971,8.511779041369815,43.28723551107951,100.4636951761099,0.2682252460055881,0.2380228042602539,1.1029731469040898,1.2798245086844162,,,,,,,,,,,,,,,,,,,,,,,,,3.3023073996628596,True
"{'experiment': {'name': 'phase8', 'models': ['swin_pico_w2'], 'seed': 42, 'stages': ['fp32', 'qat', 'int8'], 'data': {'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9}, 'training': {'epochs': 1000, 'lr': 0.0005, 'weight_decay': 0.05, 'label_smoothing': 0.1, 'grad_clip_norm': 1.0, 'use_amp': True, 'early_stopping_patience': 50, 'warmup_epochs': 5, 'reset_scheduler_on_resume': True}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}}, 'runtime': {'name': 'pcad', 'root': 'outputs/pcad', 'dataset_root': '${PCAD_DATASET_ROOT}', 'device': 'cuda', 'conda_env': 'alexnet_rafael', 'wandb': True, 'wandb_mode': 'offline', 'tensorboard': True, 'distributed': False, 'devices': 1, 'launcher': 'single', 'use_kagglehub_fallback': True, 'persistent_workers': True, 'benchmark_warmup': 100, 'quantized_engine': 'fbgemm'}, 'data': {'dataset_path': '/home/users/rsdsouza/.cache/kagglehub/datasets/akash2sharma/tiny-imagenet/versions/1/tiny-imagenet-200/train', 'img_size': 64, 'num_classes': 200, 'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9, 'seed': 42}, 'training': {'epochs': 1000, 'lr': 0.0005, 'weight_decay': 0.05, 'label_smoothing': 0.1, 'grad_clip_norm': 1.0, 'use_amp': True, 'early_stopping_patience': 50, 'warmup_epochs': 5, 'reset_scheduler_on_resume': True}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}, 'selected_model': 'swin_pico_w2', 'stage_list': ['fp32', 'qat', 'int8']}",swin_pico_w2,fp32/qat/int8,99,32.91,59.93,30.76,58.01,inf,3.654088831727908,32.947224378585815,59.96630787849426,2.9293861389160156,27.019083499908447,33.25328826904297,60.45393943786621,2.907719850540161,27.200651168823242,-0.3060638904571533,1.2498903274536133,0.6686086654663086,0.321188,1.8693899615882195,102.46335479532236,30923520,61847040,0.315420479408931,3170.3711879263774,0.9938192785019055,1006.219160396457,63.56220307966479,9368.333796739578,128.8359375,1417.4441297451885,0.045207825803460014,25.186394557823142,4327.263950892857,71.10287742773744,7.021282315761219,29.61921353560246,184.49645631179067,0.37960656483968097,0.5728683471679688,1.0991713136689558,1.167124468949352,,,,,,,,,,,,,,,,,,,,,,,,,3.2925940782438228,True
"{'experiment': {'name': 'phase8', 'models': ['swin_pico_w4'], 'seed': 42, 'stages': ['fp32', 'qat', 'int8'], 'data': {'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9}, 'training': {'epochs': 1000, 'lr': 0.0005, 'weight_decay': 0.05, 'label_smoothing': 0.1, 'grad_clip_norm': 1.0, 'use_amp': True, 'early_stopping_patience': 50, 'warmup_epochs': 5, 'reset_scheduler_on_resume': True}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}}, 'runtime': {'name': 'pcad', 'root': 'outputs/pcad', 'dataset_root': '${PCAD_DATASET_ROOT}', 'device': 'cuda', 'conda_env': 'alexnet_rafael', 'wandb': True, 'wandb_mode': 'offline', 'tensorboard': True, 'distributed': False, 'devices': 1, 'launcher': 'single', 'use_kagglehub_fallback': True, 'persistent_workers': True, 'benchmark_warmup': 100, 'quantized_engine': 'fbgemm'}, 'data': {'dataset_path': '/home/users/rsdsouza/.cache/kagglehub/datasets/akash2sharma/tiny-imagenet/versions/1/tiny-imagenet-200/train', 'img_size': 64, 'num_classes': 200, 'batch_size': 64, 'num_workers': 4, 'pin_memory': True, 'train_val_split': 0.9, 'seed': 42}, 'training': {'epochs': 1000, 'lr': 0.0005, 'weight_decay': 0.05, 'label_smoothing': 0.1, 'grad_clip_norm': 1.0, 'use_amp': True, 'early_stopping_patience': 50, 'warmup_epochs': 5, 'reset_scheduler_on_resume': True}, 'qat': {'epochs': 100, 'lr': 1e-05, 'weight_decay': 0.0005, 'freeze_bn_epoch': 3, 'disable_observer_epoch': 5}, 'selected_model': 'swin_pico_w4', 'stage_list': ['fp32', 'qat', 'int8']}",swin_pico_w4,fp32/qat/int8,99,33.58,60.79,31.35,58.02,inf,3.565169515006064,33.526986837387085,60.73084473609924,2.8860015869140625,27.203857898712158,33.88566076755524,61.19742393493652,2.8688416481018066,27.311763167381287,-0.35867393016815186,1.2590456008911133,0.6777639389038086,0.321668,1.8576461930498236,104.39334966487185,31808256,63616512,0.2388101452961564,4187.426789426667,0.9151244226843118,1092.7475818716812,62.40360305209955,9009.73948597908,136.4697265625,1443.3793812790445,0.044383785954551606,25.50069444444445,6080.110215928819,64.16843595790013,7.062481432978186,44.7109665766142,160.1415802970446,0.3799407747056749,0.5755367279052734,1.1019527991497031,1.177620655714887,,,,,,,,,,,,,,,,,,,,,,,,,3.313794371942433,True
