phase,experiment,model,stage,runtime,host,git_hash,path,top1,size_mb
phase_8,phase_8_efficient_vit_convstem,swin_pico_convstem,fp32/qat/int8,local,,,outputs/local/phase_8_efficient_vit_convstem/swin_pico_convstem/results/swin_pico_convstem_summary.json,41.8,0.7226495742797852
phase_8,phase_8_efficient_vit_convstem,vit_tiny_convstem,fp32/qat/int8,local,,,outputs/local/phase_8_efficient_vit_convstem/vit_tiny_convstem/results/vit_tiny_convstem_summary.json,49.62,5.581674575805664
phase_1,phase_1_baseline,alexnet_tv,fp32,notebooks,,,outputs/notebooks/phase_1_baseline/alexnet_tv_meta.json,29.61,693.9
phase_1,phase_1_baseline,alexnet_tv,qat,notebooks,,,outputs/notebooks/phase_1_baseline/qat_alexnet_tv_meta.json,29.95,694.1
phase_1,phase_1_baseline,mobilenetv2,fp32,notebooks,,,outputs/notebooks/phase_1_baseline/mobilenetv2_meta.json,57.48,30.15
phase_1,phase_1_baseline,mobilenetv2,qat,notebooks,,,outputs/notebooks/phase_1_baseline/qat_mobilenetv2_meta.json,53.82,30.91
phase_1,phase_1_baseline,resnet18tv,fp32,notebooks,,,outputs/notebooks/phase_1_baseline/resnet18tv_meta.json,53.42,135.49
phase_1,phase_1_baseline,resnet18tv,qat,notebooks,,,outputs/notebooks/phase_1_baseline/qat_resnet18tv_meta.json,55.7,135.75
phase_1,phase_1_baseline,vgg_style,fp32,notebooks,,,outputs/notebooks/phase_1_baseline/vgg_style_meta.json,51.76,28.92
phase_1,phase_1_baseline,vgg_style,qat,notebooks,,,outputs/notebooks/phase_1_baseline/qat_vgg_style_meta.json,53.41,29.04
phase_2,phase_2_kernel_restriction,alexnet_2x2_fc,fp32,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/alexnet_2x2_fc_meta.json,30.68,
phase_2,phase_2_kernel_restriction,alexnet_2x2_fc,qat,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/qat_alexnet_2x2_fc_meta.json,32.05,
phase_2,phase_2_kernel_restriction,alexnet_2x2_gap,fp32,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/alexnet_2x2_gap_meta.json,33.24,
phase_2,phase_2_kernel_restriction,alexnet_2x2_gap,qat,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/qat_alexnet_2x2_gap_meta.json,31.14,
phase_2,phase_2_kernel_restriction,alexnet_3x3_fc,fp32,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/alexnet_3x3_fc_meta.json,34.13,691.28
phase_2,phase_2_kernel_restriction,alexnet_3x3_fc,qat,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/qat_alexnet_3x3_fc_meta.json,35.36,691.33
phase_2,phase_2_kernel_restriction,alexnet_3x3_gap,fp32,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/alexnet_3x3_gap_meta.json,43.01,27.65
phase_2,phase_2_kernel_restriction,alexnet_3x3_gap,qat,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/qat_alexnet_3x3_gap_meta.json,43.65,27.69
phase_2,phase_2_kernel_restriction,alexnet_mixed,fp32,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/alexnet_mixed_meta.json,38.7,
phase_2,phase_2_kernel_restriction,alexnet_mixed,qat,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/qat_alexnet_mixed_meta.json,38.87,
phase_2,phase_2_kernel_restriction,alexnet_small_kernel,fp32,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/alexnet_small_kernel_meta.json,48.99,19.24
phase_2,phase_2_kernel_restriction,alexnet_small_kernel,qat,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/qat_alexnet_small_kernel_meta.json,49.28,19.3
phase_2,phase_2_kernel_restriction,alexnet_stacked,fp32,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/alexnet_stacked_meta.json,45.31,
phase_2,phase_2_kernel_restriction,alexnet_stacked,qat,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/qat_alexnet_stacked_meta.json,44.71,
phase_2,phase_2_kernel_restriction,alexnet_tv,fp32,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/alexnet_tv_meta.json,32.26,
phase_2,phase_2_kernel_restriction,alexnet_tv,qat,notebooks,,,outputs/notebooks/phase_2_kernel_restriction/qat_alexnet_tv_meta.json,26.43,
phase_3,phase_3_compensation_and_hybrids,alexnet_bottleneck,fp32,notebooks,,,outputs/notebooks/phase_3_compensation_and_hybrids/alexnet_bottleneck_meta.json,48.92,4.71
phase_3,phase_3_compensation_and_hybrids,alexnet_bottleneck,qat,notebooks,,,outputs/notebooks/phase_3_compensation_and_hybrids/qat_alexnet_bottleneck_meta.json,49.74,4.83
phase_3,phase_3_compensation_and_hybrids,alexnet_depthwisesep,fp32,notebooks,,,outputs/notebooks/phase_3_compensation_and_hybrids/alexnet_depthwisesep_meta.json,45.28,3.83
phase_3,phase_3_compensation_and_hybrids,alexnet_depthwisesep,qat,notebooks,,,outputs/notebooks/phase_3_compensation_and_hybrids/qat_alexnet_depthwisesep_meta.json,43.13,3.96
phase_3,phase_3_compensation_and_hybrids,alexnet_factorized,fp32,notebooks,,,outputs/notebooks/phase_3_compensation_and_hybrids/alexnet_factorized_meta.json,43.04,
phase_3,phase_3_compensation_and_hybrids,alexnet_factorized,qat,notebooks,,,outputs/notebooks/phase_3_compensation_and_hybrids/qat_alexnet_factorized_meta.json,43.13,
phase_3,phase_3_compensation_and_hybrids,alexnet_fire,fp32,notebooks,,,outputs/notebooks/phase_3_compensation_and_hybrids/alexnet_fire_meta.json,51.23,6.28
phase_3,phase_3_compensation_and_hybrids,alexnet_fire,qat,notebooks,,,outputs/notebooks/phase_3_compensation_and_hybrids/qat_alexnet_fire_meta.json,52.68,6.4
phase_3,phase_3_compensation_and_hybrids,alexnet_groupconv,fp32,notebooks,,,outputs/notebooks/phase_3_compensation_and_hybrids/alexnet_groupconv_meta.json,29.21,
phase_3,phase_3_compensation_and_hybrids,alexnet_groupconv,qat,notebooks,,,outputs/notebooks/phase_3_compensation_and_hybrids/qat_alexnet_groupconv_meta.json,28.45,
phase_3,phase_3_compensation_and_hybrids,alexnet_residual,fp32,notebooks,,,outputs/notebooks/phase_3_compensation_and_hybrids/alexnet_residual_meta.json,48.06,
phase_3,phase_3_compensation_and_hybrids,alexnet_residual,qat,notebooks,,,outputs/notebooks/phase_3_compensation_and_hybrids/qat_alexnet_residual_meta.json,48.26,
